Variable,Mean,STD,Min,Max,N,Year Range,Number of Countries
Gas_Current_MW,8947.55,34756.74,21.0,545716.0,4321,1924-2023,107
Gas_Share_Ret,0.09,1.36,0.0,32.0,4321,1924-2023,107
Gas_Share_PhasedOut,0.0,0.0,0.0,0.0,4321,1924-2023,107
Coal_Current_MW,14887.0,65670.18,0.0,1098578.0,3971,1927-2022,81
Coal_Share_Ret,2.07,9.02,0.0,100.0,3971,1927-2022,81
Coal_Share_Tran,0.87,4.54,0.0,50.0,3971,1927-2022,81
Coal_Share_PhasedOut,2.77,11.5,0.0,100.0,3971,1927-2022,81
Share_VRE_Gen,0.02,0.06,0.0,1.0,3126,1990-2022,121
Share_Gas_Gen,0.3,0.31,0.0,1.0,3126,1990-2022,121
Share_Coal_Gen,0.22,0.26,0.0,1.0,3126,1990-2022,121
Coal_Gen_Decline_Perc,6.56,17.92,0.0,100.0,3126,1990-2022,121
Gas_Gen_Decline_Perc,3.64,12.43,0.0,91.0,3126,1990-2022,121
