"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35"
"StateCapacity",0.277554707548612,-0.0445834961366044,0.0305084001292995,-0.0232627654967468,0.0306221507618621,-0.0404541191592178,0.0686246804534236,-0.0109210130730665,0.0643460195417611,-0.0636605907068073,0.0212873092527348,0.00587099648201796,-0.0508086536772004,-0.0280298138321152,0.0386258556120183,0.0620660532671081,-0.102075619347204,-0.0586635545577227,-0.0277990458635674,0.0452775867136462,0.178914617699948,0.00289345543269671,-0.308010119430404,-0.304527853612792,-0.0898553740476386,-0.00489003174798021,0.530874159013691,0.0810099878737954,0.239111695711508,0.0905031491033102,0.129578039755312,0.311493527582751,-0.156148392775262,-0.395045543547113,-0.047789284077445
"NG_R2P",-0.0578070860812686,0.0457747502986494,0.160159996378647,0.318682607381447,0.129116745072076,-0.161245627902778,0.181093219543372,0.194375737641204,0.0447224883623298,-0.507291477390317,-0.131988177328265,0.0968591759295919,-0.391264747592458,0.0196599368537251,-0.348020928279715,0.189411522348246,-0.0950140045105609,0.233484512523246,-0.156795839866432,-0.063877408906836,0.0531140894889814,0.0557691675890541,0.0412771744045147,0.10375705372998,0.0880494439146894,-0.0581237263268951,-0.0729044999853872,-0.123970647162005,-0.023284729697487,0.0484081485524078,0.0146120074569574,0.0178249489641937,0.0192343091643641,-0.103170233061383,0.0251739701123166
"Coal_R2P",-0.00419230588420576,-0.0225955030157021,-0.0431297175493158,0.381378935103963,0.0812985709309878,0.283906536921379,0.252897754930975,0.330700469451382,-0.262142215416144,-0.0220424822195696,-0.301526118057252,-0.259499832332603,0.196407323130706,0.164489846510117,-0.0363547708356239,-0.0943383064312968,-0.0868045114852786,-0.425428973229763,0.0171265219095197,0.0903145014876304,0.0238130491762668,-0.246332340018341,-0.0710202993654618,-0.0437118462585872,-0.0389342577607793,-0.0239833871128133,-0.0274231349749942,-0.0300716002919897,0.0675545146920209,-0.110631745733222,-0.0340157524503806,-0.0303501360129205,0.00208350411968466,0.00727385383376738,0.0212281156230007
"Survey_Worry",-0.0627135742524849,-0.275791799649234,-0.2313085978335,0.153547533315201,0.221331223941974,-0.302419152312401,-0.0270892655232269,-0.209212451699878,0.00512254189295606,-0.0468304050814393,0.197955345426476,0.0889603328440988,-0.035309412958712,0.0079437305896312,0.172816412397875,-0.101646813087098,-0.138281404998434,-0.127531432316593,-0.420757963838924,0.149371956071345,-0.251412297066922,-0.292404590986291,0.124553847132482,0.142364823346357,0.0306764612284979,0.0357110266906208,-0.02125223290677,0.105544050663136,0.26346184427005,-0.141197238092607,-0.0570495500587908,-0.0147102776045151,0.126810908245311,-0.157198680527028,0.0224668403558401
"Survey_Belief",0.186454297071379,-0.187301603030685,-0.214488808538653,-0.113187381980349,0.14249957779789,0.000103182185193156,0.00919994382074331,0.0236953352214962,-0.106384974284532,0.154189867023242,-0.0933801140104191,-0.0323840912425992,0.130506017217439,-0.187366418969041,-0.30974613841936,0.148085902776669,0.336907158036199,-0.0725506098718984,-0.334932942026699,-0.300683062660218,-0.0716544094661541,0.163047713575282,-0.295248442389411,0.105014499577656,0.274166735013526,0.00263461874826552,0.0402896515815015,-0.25720195219498,0.121460505442184,-0.0672879229970443,-0.0293905949070764,0.0132270106662378,-0.0222291635603834,0.138060896801401,-0.0375419870569556
"Survey_FutureGen",-0.014341827138263,-0.28145938349704,-0.294805918855165,0.161282867868798,0.268057402753567,-0.224877503123518,0.0736525986645064,-0.0891546221769008,-0.0443646886322654,-0.06008417011283,0.108363786528482,0.0305564079327267,0.0319555186579438,-0.143531787346124,-0.100204550426394,-0.0392112734995845,8.95143412623368e-05,-0.14073475769832,0.403392793854609,0.0742567809425832,0.236436768631867,0.0606580430207713,0.0621187779956092,0.186126609473698,0.0756020562550385,-0.089081487176906,0.261484840531274,0.0907649507199729,-0.439279171074637,0.0117660641865092,-0.104816229078021,0.0675374583949496,-0.0940593709407014,0.12356485541423,-0.106006041068823
"Survey_Personal",-0.193688088961753,-0.128057484803092,-0.194966437841901,0.274674382230103,0.0673808810085413,-0.100631870184973,-0.000937621377398987,-0.159173811464029,0.0609048012895215,-0.173678115770564,0.113876871937265,-0.029700472013376,0.148705298718991,0.0487935435876448,0.160294220524638,-0.108527922958427,0.0830123360590701,0.108311190297649,0.168131286274492,-0.126306290525577,0.247867178211886,0.130611560790383,-0.318227281573378,-0.294811133186737,-0.0624166946577261,0.190494631097844,-0.413306972253061,-0.14161620912865,0.250056948060728,0.214816826959878,-0.0350596259682528,-0.0549958606215273,-0.0897682544000725,0.0233200402362905,-0.0286005853854271
"Survey_FossilMore",-0.246798986825433,0.120337383404047,0.0120164335929912,0.14167789050966,-0.140199748681617,0.0803920327811174,0.00599169309761433,-0.0758578198379879,0.0689047192143221,-0.10980161655173,0.140555287358999,0.00984661351705321,0.159550023662729,0.0536075822332149,0.182905081314505,-0.130524154358245,0.119588018804657,-0.0119802301673606,-0.141838699948283,0.0908253098515354,0.0871424601077957,0.0378326404585552,-0.272679358572703,0.292709752217209,0.0534633265407628,-0.222365576854995,0.3182548009067,-0.279487121707169,-0.137208444075477,0.174778570706539,0.276998475913146,-0.129615084712519,0.299325550291401,-0.0286355285275043,0.283042596352539
"Survey_FossilLess",0.240851467632015,-0.164001025841551,-0.0898324627686044,-0.105291721461517,0.180982960583827,-0.119169972846594,0.0173094937294679,0.0420149623001191,-0.0253763528958653,0.0447746329894258,-0.119466670597919,0.0456847592786322,-0.0280342413933308,-0.00443597368732387,-0.147333967516035,0.152772323327424,-0.0217845947443424,-0.0821828819210833,0.149336531561805,-0.0423509140336722,0.0287435695582714,0.0680326459045879,0.161555398925433,-0.155279617509998,-0.346367653740861,0.0210320927733546,0.055200784792988,0.0552608321425336,0.1573352940197,0.266668158458949,0.157332391379295,-0.360981366515756,0.450315215361002,0.0910521469086336,0.326421355621255
"GCI4",0.271668335923902,0.10282947716855,-0.00258539061383154,0.10145636478406,0.0695511360823067,-0.0645110025886215,-0.00765591248045924,-0.104038732637222,0.00141500506397267,-0.052363902085415,0.0403241931091175,-0.0494650586897273,-0.0169884775795435,0.0337015113258215,0.0247247862272118,-0.0091405500983982,0.0832354228382504,0.0578817412845888,0.069815604077773,0.0365396415622362,-0.120324989682029,-0.244647930143214,0.0256884754086898,-0.0409937246086011,0.185856024600803,0.124133624237841,-0.0812125195353012,0.0394501897287154,-0.0472773589741965,0.0389013124682321,0.264672998659116,0.295416681134502,-0.298785058391145,0.321531070726043,0.609521322632624
