Model,Scenario,Category,Region,Year,EJ/yr
MESSAGEix-GLOBIOM_1.1,NGFS2_Nationally Determined Contributions (NDCs),C5,R10AFRICA,2048,1.1612236422
REMIND 2.1,R2p1_SSP2-NDC,C5,R10CHINA+,2076,21.11014
REMIND 2.1,R2p1_SSP2-NDC,C5,R10AFRICA,2076,23.8303
REMIND 2.1,R2p1_SSP1-NDC,C5,R10ROWO,2076,1.88364
REMIND 2.1,R2p1_SSP1-NDC,C5,R10REST_ASIA,2076,15.35448
REMIND 2.1,R2p1_SSP1-NDC,C5,R10REF_ECON,2076,2.61842
REMIND 2.1,R2p1_SSP1-NDC,C5,R10PAC_OECD,2076,0.60148
REMIND 2.1,R2p1_SSP1-NDC,C5,R10NORTH_AM,2076,9.70568
REMIND 2.1,R2p1_SSP1-NDC,C5,R10MIDDLE_EAST,2076,9.90616
REMIND 2.1,R2p1_SSP1-NDC,C5,R10LATIN_AM,2076,6.26236
REMIND 2.1,R2p1_SSP1-NDC,C5,R10INDIA+,2076,25.810280000000002
REMIND 2.1,R2p1_SSP1-NDC,C5,R10EUROPE,2076,4.90766
REMIND 2.1,R2p1_SSP1-NDC,C5,R10CHINA+,2076,13.3699
REMIND 2.1,R2p1_SSP1-NDC,C5,R10AFRICA,2076,19.427680000000002
REMIND 2.1,LeastTotalCost_NDC_brkSR15_SSP2_P50,C5,R10ROWO,2076,3.58306
REMIND 2.1,LeastTotalCost_NDC_brkSR15_SSP2_P50,C5,R10REST_ASIA,2076,18.73424
REMIND 2.1,LeastTotalCost_NDC_brkSR15_SSP2_P50,C5,R10REF_ECON,2076,4.629020000000001
REMIND 2.1,LeastTotalCost_NDC_brkSR15_SSP2_P50,C5,R10PAC_OECD,2076,0.72164
REMIND 2.1,LeastTotalCost_NDC_brkSR15_SSP2_P50,C5,R10NORTH_AM,2076,13.294880000000001
REMIND 2.1,LeastTotalCost_NDC_brkSR15_SSP2_P50,C5,R10MIDDLE_EAST,2076,12.4407
REMIND 2.1,LeastTotalCost_NDC_brkSR15_SSP2_P50,C5,R10LATIN_AM,2076,11.53884
REMIND 2.1,LeastTotalCost_NDC_brkSR15_SSP2_P50,C5,R10INDIA+,2076,28.002380000000002
REMIND 2.1,LeastTotalCost_NDC_brkSR15_SSP2_P50,C5,R10EUROPE,2076,8.78588
REMIND 2.1,LeastTotalCost_NDC_brkSR15_SSP2_P50,C5,R10CHINA+,2076,22.71136
REMIND 2.1,R2p1_SSP2-NDC,C5,R10EUROPE,2076,8.11528
REMIND 2.1,R2p1_SSP2-NDC,C5,R10INDIA+,2076,37.36808
REMIND 2.1,R2p1_SSP2-NDC,C5,R10LATIN_AM,2076,12.42634
REMIND 2.1,R2p1_SSP2-NDC,C5,R10MIDDLE_EAST,2076,15.35914
REMIND-MAgPIE 2.1-4.2,EN_INDCi2100_COV,C5,R10PAC_OECD,2076,0.7532800000000001
REMIND-MAgPIE 2.1-4.2,EN_INDCi2100_COV,C5,R10NORTH_AM,2076,12.89204
REMIND-MAgPIE 2.1-4.2,EN_INDCi2100_COV,C5,R10MIDDLE_EAST,2076,12.76338
REMIND-MAgPIE 2.1-4.2,EN_INDCi2100_COV,C5,R10LATIN_AM,2076,9.89784
REMIND-MAgPIE 2.1-4.2,EN_INDCi2100_COV,C5,R10INDIA+,2076,36.442620000000005
REMIND-MAgPIE 2.1-4.2,EN_INDCi2100_COV,C5,R10EUROPE,2076,7.89074
REMIND-MAgPIE 2.1-4.2,EN_INDCi2100_COV,C5,R10CHINA+,2076,19.85024
REMIND-MAgPIE 2.1-4.2,EN_INDCi2100_COV,C5,R10AFRICA,2076,19.5932
REMIND-MAgPIE 2.1-4.2,EN_INDCi2100,C5,R10ROWO,2076,3.1555600000000004
REMIND-MAgPIE 2.1-4.2,EN_INDCi2100,C5,R10REST_ASIA,2076,24.29242
REMIND-MAgPIE 2.1-4.2,EN_INDCi2100,C5,R10REF_ECON,2076,4.607679999999999
REMIND 2.1,LeastTotalCost_NDC_brkSR15_SSP2_P50,C5,R10AFRICA,2076,23.490099999999998
REMIND-MAgPIE 2.1-4.2,EN_INDCi2100,C5,R10PAC_OECD,2076,0.75718
REMIND-MAgPIE 2.1-4.2,EN_INDCi2100,C5,R10MIDDLE_EAST,2076,15.494599999999998
REMIND-MAgPIE 2.1-4.2,EN_INDCi2100,C5,R10LATIN_AM,2076,12.21684
REMIND-MAgPIE 2.1-4.2,EN_INDCi2100,C5,R10INDIA+,2076,37.39946
REMIND-MAgPIE 2.1-4.2,EN_INDCi2100,C5,R10EUROPE,2076,8.19874
REMIND-MAgPIE 2.1-4.2,EN_INDCi2100,C5,R10CHINA+,2076,21.30218
REMIND-MAgPIE 2.1-4.2,EN_INDCi2100,C5,R10AFRICA,2076,23.88918
REMIND 2.1,R2p1_SSP2-NDC,C5,R10ROWO,2076,3.1230800000000003
REMIND 2.1,R2p1_SSP2-NDC,C5,R10REST_ASIA,2076,24.01918
REMIND 2.1,R2p1_SSP2-NDC,C5,R10REF_ECON,2076,4.51998
REMIND 2.1,R2p1_SSP2-NDC,C5,R10PAC_OECD,2076,0.7576
REMIND 2.1,R2p1_SSP2-NDC,C5,R10NORTH_AM,2076,14.21368
REMIND-MAgPIE 2.1-4.2,EN_INDCi2100,C5,R10NORTH_AM,2076,14.04002
REMIND-MAgPIE 2.1-4.2,EN_INDCi2100_COV,C5,R10REF_ECON,2076,3.79648
REMIND 2.1,LeastTotalCost_NDC_brkLR15_SSP2_P50,C5,R10ROWO,2076,3.02556
REMIND 2.1,LeastTotalCost_NDC_brkLR15_SSP2_P50,C5,R10REF_ECON,2076,3.45662
GCAM 5.3,NGFS2_Nationally Determined Contributions (NDCs),C5,R10CHINA+,2090,8.710829
GCAM 5.3,NGFS2_Nationally Determined Contributions (NDCs),C5,R10EUROPE,2090,11.991206769999998
GCAM 5.3,NGFS2_Nationally Determined Contributions (NDCs),C5,R10INDIA+,2090,11.89929
GCAM 5.3,NGFS2_Nationally Determined Contributions (NDCs),C5,R10LATIN_AM,2090,8.2090015
GCAM 5.3,NGFS2_Nationally Determined Contributions (NDCs),C5,R10MIDDLE_EAST,2090,3.933909
GCAM 5.3,NGFS2_Nationally Determined Contributions (NDCs),C5,R10NORTH_AM,2090,13.197787
GCAM 5.3,NGFS2_Nationally Determined Contributions (NDCs),C5,R10PAC_OECD,2090,4.733037
GCAM 5.3,NGFS2_Nationally Determined Contributions (NDCs),C5,R10REF_ECON,2090,3.6419391
GCAM 5.3,NGFS2_Nationally Determined Contributions (NDCs),C5,R10REST_ASIA,2090,14.232401
REMIND-MAgPIE 2.1-4.2,SusDev_SSP2-NDC,C5,R10CHINA+,2038,10.47418
REMIND-MAgPIE 2.1-4.2,SusDev_SSP2-NDC,C5,R10AFRICA,2038,2.76216
REMIND-MAgPIE 2.1-4.2,SusDev_SSP1-NDC,C5,R10ROWO,2038,1.45122
REMIND-MAgPIE 2.1-4.2,SusDev_SSP1-NDC,C5,R10REST_ASIA,2038,5.74134
REMIND-MAgPIE 2.1-4.2,SusDev_SSP1-NDC,C5,R10REF_ECON,2038,0.7109
REMIND-MAgPIE 2.1-4.2,SusDev_SSP1-NDC,C5,R10PAC_OECD,2038,0.40764
REMIND-MAgPIE 2.1-4.2,SusDev_SSP1-NDC,C5,R10NORTH_AM,2038,7.37416
REMIND-MAgPIE 2.1-4.2,SusDev_SSP1-NDC,C5,R10MIDDLE_EAST,2038,3.3443
REMIND-MAgPIE 2.1-4.2,SusDev_SSP1-NDC,C5,R10LATIN_AM,2038,3.90036
REMIND-MAgPIE 2.1-4.2,SusDev_SSP1-NDC,C5,R10INDIA+,2038,7.28852
REMIND-MAgPIE 2.1-4.2,SusDev_SSP1-NDC,C5,R10EUROPE,2038,4.60824
REMIND-MAgPIE 2.1-4.2,SusDev_SSP1-NDC,C5,R10CHINA+,2038,11.4266
REMIND-MAgPIE 2.1-4.2,SusDev_SSP1-NDC,C5,R10AFRICA,2038,2.76996
REMIND-MAgPIE 2.1-4.2,NGFS2_Nationally Determined Contributions (NDCs),C5,R10ROWO,2038,1.33034
GCAM 5.3,NGFS2_Nationally Determined Contributions (NDCs),C5,R10AFRICA,2090,30.677031
REMIND-MAgPIE 2.1-4.2,SusDev_SSP2-NDC,C5,R10EUROPE,2038,5.5527
REMIND-MAgPIE 2.1-4.2,SusDev_SSP2-NDC,C5,R10INDIA+,2038,6.6073
REMIND-MAgPIE 2.1-4.2,SusDev_SSP2-NDC,C5,R10LATIN_AM,2038,4.1228
REMIND 2.1,LeastTotalCost_NDC_brkLR15_SSP2_P50,C5,R10PAC_OECD,2076,0.70524
REMIND 2.1,LeastTotalCost_NDC_brkLR15_SSP2_P50,C5,R10NORTH_AM,2076,11.90812
REMIND 2.1,LeastTotalCost_NDC_brkLR15_SSP2_P50,C5,R10MIDDLE_EAST,2076,12.78052
REMIND 2.1,LeastTotalCost_NDC_brkLR15_SSP2_P50,C5,R10LATIN_AM,2076,11.8538
REMIND 2.1,LeastTotalCost_NDC_brkLR15_SSP2_P50,C5,R10INDIA+,2076,31.379739999999998
REMIND 2.1,LeastTotalCost_NDC_brkLR15_SSP2_P50,C5,R10EUROPE,2076,7.494120000000001
REMIND 2.1,LeastTotalCost_NDC_brkLR15_SSP2_P50,C5,R10CHINA+,2076,19.76962
REMIND 2.1,LeastTotalCost_NDC_brkLR15_SSP2_P50,C5,R10AFRICA,2076,24.69108
MESSAGEix-GLOBIOM_1.1,NGFS2_Nationally Determined Contributions (NDCs),C5,R10REST_ASIA,2076,7.559216108
MESSAGEix-GLOBIOM_1.1,NGFS2_Nationally Determined Contributions (NDCs),C5,R10REF_ECON,2076,2.850091151
MESSAGEix-GLOBIOM_1.1,NGFS2_Nationally Determined Contributions (NDCs),C5,R10PAC_OECD,2076,2.1881711808
REMIND 2.1,LeastTotalCost_NDC_brkLR15_SSP2_P50,C5,R10REST_ASIA,2076,20.2075
MESSAGEix-GLOBIOM_1.1,NGFS2_Nationally Determined Contributions (NDCs),C5,R10NORTH_AM,2076,8.6355251712
MESSAGEix-GLOBIOM_1.1,NGFS2_Nationally Determined Contributions (NDCs),C5,R10LATIN_AM,2076,7.0270618184
MESSAGEix-GLOBIOM_1.1,NGFS2_Nationally Determined Contributions (NDCs),C5,R10INDIA+,2076,18.119441727999998
MESSAGEix-GLOBIOM_1.1,NGFS2_Nationally Determined Contributions (NDCs),C5,R10EUROPE,2076,8.092280671400001
MESSAGEix-GLOBIOM_1.1,NGFS2_Nationally Determined Contributions (NDCs),C5,R10CHINA+,2076,11.919638992
MESSAGEix-GLOBIOM_1.1,NGFS2_Nationally Determined Contributions (NDCs),C5,R10AFRICA,2076,12.224629403200002
REMIND-MAgPIE 2.1-4.2,SusDev_SSP2-NDC,C5,R10ROWO,2038,1.75474
REMIND-MAgPIE 2.1-4.2,SusDev_SSP2-NDC,C5,R10REST_ASIA,2038,5.6665600000000005
REMIND-MAgPIE 2.1-4.2,SusDev_SSP2-NDC,C5,R10REF_ECON,2038,0.83704
