Model,Scenario,Category,Region,Year,EJ/yr
MESSAGEix-GLOBIOM_1.1,NGFS2_Nationally Determined Contributions (NDCs),C5,R10AFRICA,2048,1.1116440565999999
REMIND 2.1,R2p1_SSP2-NDC,C5,R10CHINA+,2076,24.57378
REMIND 2.1,R2p1_SSP2-NDC,C5,R10AFRICA,2076,24.2402
REMIND 2.1,R2p1_SSP1-NDC,C5,R10ROWO,2076,2.86688
REMIND 2.1,R2p1_SSP1-NDC,C5,R10REST_ASIA,2076,17.42022
REMIND 2.1,R2p1_SSP1-NDC,C5,R10REF_ECON,2076,2.87206
REMIND 2.1,R2p1_SSP1-NDC,C5,R10PAC_OECD,2076,1.61256
REMIND 2.1,R2p1_SSP1-NDC,C5,R10NORTH_AM,2076,10.7831
REMIND 2.1,R2p1_SSP1-NDC,C5,R10MIDDLE_EAST,2076,9.68904
REMIND 2.1,R2p1_SSP1-NDC,C5,R10LATIN_AM,2076,7.658040000000001
REMIND 2.1,R2p1_SSP1-NDC,C5,R10INDIA+,2076,19.17654
REMIND 2.1,R2p1_SSP1-NDC,C5,R10EUROPE,2076,9.28604
REMIND 2.1,R2p1_SSP1-NDC,C5,R10CHINA+,2076,13.65438
REMIND 2.1,R2p1_SSP1-NDC,C5,R10AFRICA,2076,18.10372
REMIND 2.1,LeastTotalCost_NDC_brkSR15_SSP2_P50,C5,R10ROWO,2076,4.83818
REMIND 2.1,LeastTotalCost_NDC_brkSR15_SSP2_P50,C5,R10REST_ASIA,2076,13.294599999999999
REMIND 2.1,LeastTotalCost_NDC_brkSR15_SSP2_P50,C5,R10REF_ECON,2076,3.7588800000000004
REMIND 2.1,LeastTotalCost_NDC_brkSR15_SSP2_P50,C5,R10PAC_OECD,2076,1.81142
REMIND 2.1,LeastTotalCost_NDC_brkSR15_SSP2_P50,C5,R10NORTH_AM,2076,15.247060000000001
REMIND 2.1,LeastTotalCost_NDC_brkSR15_SSP2_P50,C5,R10MIDDLE_EAST,2076,8.535879999999999
REMIND 2.1,LeastTotalCost_NDC_brkSR15_SSP2_P50,C5,R10LATIN_AM,2076,11.50434
REMIND 2.1,LeastTotalCost_NDC_brkSR15_SSP2_P50,C5,R10INDIA+,2076,11.72766
REMIND 2.1,LeastTotalCost_NDC_brkSR15_SSP2_P50,C5,R10EUROPE,2076,14.14972
REMIND 2.1,LeastTotalCost_NDC_brkSR15_SSP2_P50,C5,R10CHINA+,2076,17.46302
REMIND 2.1,R2p1_SSP2-NDC,C5,R10EUROPE,2076,15.14954
REMIND 2.1,R2p1_SSP2-NDC,C5,R10INDIA+,2076,21.89896
REMIND 2.1,R2p1_SSP2-NDC,C5,R10LATIN_AM,2076,15.0286
REMIND 2.1,R2p1_SSP2-NDC,C5,R10MIDDLE_EAST,2076,13.76736
REMIND-MAgPIE 2.1-4.2,EN_INDCi2100_COV,C5,R10PAC_OECD,2076,2.42384
REMIND-MAgPIE 2.1-4.2,EN_INDCi2100_COV,C5,R10NORTH_AM,2076,15.29846
REMIND-MAgPIE 2.1-4.2,EN_INDCi2100_COV,C5,R10MIDDLE_EAST,2076,11.989279999999999
REMIND-MAgPIE 2.1-4.2,EN_INDCi2100_COV,C5,R10LATIN_AM,2076,11.83774
REMIND-MAgPIE 2.1-4.2,EN_INDCi2100_COV,C5,R10INDIA+,2076,21.8683
REMIND-MAgPIE 2.1-4.2,EN_INDCi2100_COV,C5,R10EUROPE,2076,14.59934
REMIND-MAgPIE 2.1-4.2,EN_INDCi2100_COV,C5,R10CHINA+,2076,22.95038
REMIND-MAgPIE 2.1-4.2,EN_INDCi2100_COV,C5,R10AFRICA,2076,20.51218
REMIND-MAgPIE 2.1-4.2,EN_INDCi2100,C5,R10ROWO,2076,5.03458
REMIND-MAgPIE 2.1-4.2,EN_INDCi2100,C5,R10REST_ASIA,2076,25.08256
REMIND-MAgPIE 2.1-4.2,EN_INDCi2100,C5,R10REF_ECON,2076,5.38246
REMIND 2.1,LeastTotalCost_NDC_brkSR15_SSP2_P50,C5,R10AFRICA,2076,17.26854
REMIND-MAgPIE 2.1-4.2,EN_INDCi2100,C5,R10PAC_OECD,2076,2.43376
REMIND-MAgPIE 2.1-4.2,EN_INDCi2100,C5,R10MIDDLE_EAST,2076,13.90186
REMIND-MAgPIE 2.1-4.2,EN_INDCi2100,C5,R10LATIN_AM,2076,14.72924
REMIND-MAgPIE 2.1-4.2,EN_INDCi2100,C5,R10INDIA+,2076,21.90158
REMIND-MAgPIE 2.1-4.2,EN_INDCi2100,C5,R10EUROPE,2076,15.201319999999999
REMIND-MAgPIE 2.1-4.2,EN_INDCi2100,C5,R10CHINA+,2076,24.84642
REMIND-MAgPIE 2.1-4.2,EN_INDCi2100,C5,R10AFRICA,2076,24.487859999999998
REMIND 2.1,R2p1_SSP2-NDC,C5,R10ROWO,2076,5.0878000000000005
REMIND 2.1,R2p1_SSP2-NDC,C5,R10REST_ASIA,2076,24.7891
REMIND 2.1,R2p1_SSP2-NDC,C5,R10REF_ECON,2076,5.26938
REMIND 2.1,R2p1_SSP2-NDC,C5,R10PAC_OECD,2076,2.45412
REMIND 2.1,R2p1_SSP2-NDC,C5,R10NORTH_AM,2076,15.9208
REMIND-MAgPIE 2.1-4.2,EN_INDCi2100,C5,R10NORTH_AM,2076,15.87036
REMIND-MAgPIE 2.1-4.2,EN_INDCi2100_COV,C5,R10REF_ECON,2076,4.44636
REMIND 2.1,LeastTotalCost_NDC_brkLR15_SSP2_P50,C5,R10ROWO,2076,4.0532200000000005
REMIND 2.1,LeastTotalCost_NDC_brkLR15_SSP2_P50,C5,R10REF_ECON,2076,2.92844
GCAM 5.3,NGFS2_Nationally Determined Contributions (NDCs),C5,R10CHINA+,2090,4.4835179
