Year,AR6_R10,AnnualMtCO2,MWh/yr,MW
2023,R10AFRICA,255.20000000000002,238575385.07999998,51386.1
2023,R10CHINA+,5089.5,5223530709.6,1125082.0
2023,R10EUROPE,706.1,629720885.208,135633.86000000002
2023,R10INDIA+,1144.3,1146570566.76,246956.7
2023,R10LATIN_AM,84.3,76578343.2,16494.0
2023,R10MIDDLE_EAST,22.299999999999997,20358678.0,4385.0
2023,R10NORTH_AM,1100.5,1004298274.968,216313.06
2023,R10PAC_OECD,382.5,364571134.344,78523.98000000001
2023,R10REF_ECON,488.4,399213479.4,85985.5
2023,R10REST_ASIA,562.7,577074968.88,124294.6
2024,R10AFRICA,254.5,238018249.07999998,51266.1
2024,R10CHINA+,5072.099999999999,5209138029.6,1121982.0
2024,R10EUROPE,677.7,605513326.008,130419.86
2024,R10INDIA+,1131.3,1136430691.5600002,244772.7
2024,R10LATIN_AM,81.5,74164087.2,15974.0
2024,R10MIDDLE_EAST,22.299999999999997,20358678.0,4385.0
2024,R10NORTH_AM,1078.3,985148117.808,212188.36
2024,R10PAC_OECD,372.7,355229820.74399996,76511.98000000001
2024,R10REF_ECON,470.8,384319377.0,82777.5
2024,R10REST_ASIA,562.5,576889256.88,124254.6
2025,R10AFRICA,253.4,237125438.64,51073.8
2025,R10CHINA+,5042.8,5185181181.6,1116822.0
2025,R10EUROPE,614.6,551905700.088,118873.45999999999
2025,R10INDIA+,1118.1,1125705823.56,242462.7
2025,R10LATIN_AM,78.1,71127696.0,15320.0
2025,R10MIDDLE_EAST,15.5,14206968.0,3060.0
2025,R10NORTH_AM,970.4000000000001,889233905.4480001,191529.66
2025,R10PAC_OECD,364.29999999999995,347541343.944,74855.98000000001
2025,R10REF_ECON,446.6,365084256.59999996,78634.5
2025,R10REST_ASIA,558.7,573639296.88,123554.6
2026,R10AFRICA,252.7,236568302.64,50953.8
2026,R10CHINA+,5030.7,5174850951.6,1114597.0
2026,R10EUROPE,542.3,487332709.128,104965.26
2026,R10INDIA+,1107.8,1117488067.56,240692.7
2026,R10LATIN_AM,74.8,68467371.6,14747.0
2026,R10MIDDLE_EAST,8.700000000000001,8055258.0,1735.0
2026,R10NORTH_AM,928.9,852194111.3280001,183551.76
2026,R10PAC_OECD,357.7,341853913.944,73630.98000000001
2026,R10REF_ECON,428.8,350575506.59999996,75509.5
2026,R10REST_ASIA,551.1,566582240.88,122034.6
2027,R10AFRICA,220.2,211357898.64,45523.8
2027,R10CHINA+,5005.099999999999,5152043196.6,1109684.5
2027,R10EUROPE,455.5,412283239.968,88800.56
2027,R10INDIA+,1092.7,1105231075.56,238052.7
2027,R10LATIN_AM,65.6,59961762.0,12915.0
2027,R10MIDDLE_EAST,8.700000000000001,8055258.0,1735.0
2027,R10NORTH_AM,827.4,761735188.968,164068.06
2027,R10PAC_OECD,334.29999999999995,320529533.544,69037.98000000001
2027,R10REF_ECON,420.3,343959516.59999996,74084.5
2027,R10REST_ASIA,533.3,550332440.88,118534.6
2028,R10AFRICA,204.99999999999997,199281975.84,42922.8
2028,R10CHINA+,4971.0,5124476571.6,1103747.0
2028,R10EUROPE,337.2,319237349.44799995,68759.66
2028,R10INDIA+,1042.9,1064971035.36,229381.2
2028,R10LATIN_AM,59.8,55346818.8,11921.0
2028,R10MIDDLE_EAST,0.4,278568.0,60.0
2028,R10NORTH_AM,496.0,463815720.0,99900.0
2028,R10PAC_OECD,307.1,297965525.544,64177.98
2028,R10REF_ECON,102.39999999999999,89306115.12,19235.4
2028,R10REST_ASIA,524.5,542764676.88,116904.6
2029,R10AFRICA,200.29999999999998,195122027.04,42026.8
2029,R10CHINA+,4950.7,5107681242.6,1100129.5
2029,R10EUROPE,330.3,313677596.448,67562.16
2029,R10INDIA+,1024.8,1049519796.9599999,226053.2
2029,R10LATIN_AM,59.0,54733969.2,11789.0
2029,R10MIDDLE_EAST,0.4,278568.0,60.0
2029,R10NORTH_AM,448.2,421396777.8,90763.5
2029,R10PAC_OECD,301.5,293350582.344,63183.98
2029,R10REF_ECON,85.5,75656283.12,16295.4
2029,R10REST_ASIA,517.6,536264756.87999994,115504.6
2030,R10AFRICA,197.79999999999998,192800627.04,41526.8
2030,R10CHINA+,4938.7,5097768864.6,1097994.5
2030,R10EUROPE,306.5,293569629.648,63231.16
2030,R10INDIA+,1003.0,1030772170.56,222015.2
2030,R10LATIN_AM,59.0,54733969.2,11789.0
2030,R10MIDDLE_EAST,0.4,278568.0,60.0
2030,R10NORTH_AM,327.2,310394394.0,66855.0
2030,R10PAC_OECD,284.0,278646834.74399996,60016.98
2030,R10REF_ECON,81.8,72852031.91999999,15691.4
2030,R10REST_ASIA,496.9,516764996.87999994,111304.6
2031,R10AFRICA,188.39999999999998,184443587.04,39726.8
2031,R10CHINA+,4921.099999999999,5083364577.6,1094892.0
2031,R10EUROPE,273.5,262121159.56800002,56457.56
2031,R10INDIA+,993.0999999999999,1022856196.56,220310.2
2031,R10LATIN_AM,51.8,48234049.2,10389.0
2031,R10MIDDLE_EAST,0.4,278568.0,60.0
2031,R10NORTH_AM,293.7,280996648.68,60523.1
2031,R10PAC_OECD,269.0,265075930.34399998,57093.98
2031,R10REF_ECON,72.8,65307481.919999994,14066.4
2031,R10REST_ASIA,488.8,508872236.87999994,109604.6
2032,R10AFRICA,182.89999999999998,179336507.04,38626.8
2032,R10CHINA+,4890.2,5057812927.8,1089388.5
2032,R10EUROPE,238.1,230534334.048,49654.16
2032,R10INDIA+,981.4,1013338456.56,218260.2
2032,R10LATIN_AM,51.8,48234049.2,10389.0
2032,R10MIDDLE_EAST,0.4,278568.0,60.0
2032,R10NORTH_AM,237.4,229769386.32,49489.4
2032,R10PAC_OECD,262.6,259013362.10399997,55788.18
2032,R10REF_ECON,62.4,56834371.919999994,12241.4
2032,R10REST_ASIA,474.59999999999997,494479556.87999994,106504.6
2033,R10AFRICA,170.1,167636651.04,36106.8
2033,R10CHINA+,4845.9,5020097142.0,1081265.0
2033,R10EUROPE,232.5,226221172.84800002,48725.16
2033,R10INDIA+,970.0999999999999,1003820716.56,216210.2
2033,R10LATIN_AM,51.4,47927624.400000006,10323.0
2033,R10MIDDLE_EAST,0.4,278568.0,60.0
2033,R10NORTH_AM,225.29999999999998,218664273.0,47097.5
2033,R10PAC_OECD,258.7,255340907.30400002,54997.18
2033,R10REF_ECON,58.2,53616911.519999996,11548.4
2033,R10REST_ASIA,460.0,479525098.08,103283.6
2034,R10AFRICA,164.1,162065291.04,34906.8
2034,R10CHINA+,4818.2,4995685299.6,1076007.0
2034,R10EUROPE,222.0,217232712.048,46789.16
2034,R10INDIA+,962.8,997599364.56,214870.2
2034,R10LATIN_AM,51.4,47927624.400000006,10323.0
2034,R10MIDDLE_EAST,0.4,278568.0,60.0
2034,R10NORTH_AM,207.4,202746897.48,43669.1
2034,R10PAC_OECD,252.0,248736060.024,53574.58
2034,R10REF_ECON,52.6,48834827.519999996,10518.4
2034,R10REST_ASIA,446.7,466204904.88,100414.6
2035,R10AFRICA,153.39999999999998,152176127.04,32776.8
2035,R10CHINA+,4789.0,4969592763.6,1070387.0
2035,R10EUROPE,205.5,202736033.328,43666.76
2035,R10INDIA+,947.0999999999999,984286135.56,212002.7
2035,R10LATIN_AM,30.9,29217140.400000002,6293.0
2035,R10MIDDLE_EAST,0.4,278568.0,60.0
2035,R10NORTH_AM,207.2,202602970.68,43638.1
2035,R10PAC_OECD,230.2,228210241.22399998,49153.58
2035,R10REF_ECON,51.6,48068765.519999996,10353.4
2035,R10REST_ASIA,437.0,456728950.08,98373.6
2036,R10AFRICA,145.7,145072643.04,31246.8
2036,R10CHINA+,4751.599999999999,4937562086.400001,1063488.0
2036,R10EUROPE,182.8,184239118.128,39682.76
2036,R10INDIA+,932.8000000000001,972354139.56,209432.7
2036,R10LATIN_AM,30.9,29217140.400000002,6293.0
2036,R10MIDDLE_EAST,0.4,278568.0,60.0
2036,R10NORTH_AM,202.1,198173739.48,42684.1
2036,R10PAC_OECD,219.0,217271804.42400002,46797.58
2036,R10REF_ECON,48.7,45677723.519999996,9838.4
2036,R10REST_ASIA,427.7,447187996.08,96318.6
2037,R10AFRICA,136.4,136548462.24,29410.8
2037,R10CHINA+,4686.4,4880502074.400001,1051198.0
2037,R10EUROPE,163.7,167009687.328,35971.76
2037,R10INDIA+,924.1999999999999,965134585.56,207877.7
2037,R10LATIN_AM,29.0,27531804.0,5930.0
2037,R10MIDDLE_EAST,0.4,278568.0,60.0
2037,R10NORTH_AM,173.2,171274284.84,36890.3
2037,R10PAC_OECD,196.29999999999998,198266502.624,42704.08
2037,R10REF_ECON,48.1,45213443.519999996,9738.4
2037,R10REST_ASIA,417.2,437489186.88,94229.6
2038,R10AFRICA,130.2,130851746.64,28183.8
2038,R10CHINA+,4633.799999999999,4834747280.400001,1041343.0
2038,R10EUROPE,155.7,159381566.928,34328.76
2038,R10INDIA+,914.3,956735760.36,206068.7
2038,R10LATIN_AM,29.0,27531804.0,5930.0
2038,R10MIDDLE_EAST,0.4,278568.0,60.0
2038,R10NORTH_AM,161.7,160782949.68,34630.6
2038,R10PAC_OECD,182.10000000000002,184419351.624,39721.58
2038,R10REF_ECON,46.6,44006315.519999996,9478.4
2038,R10REST_ASIA,408.7,429132146.88,92429.6
2039,R10AFRICA,114.10000000000001,116110856.64,25008.8
2039,R10CHINA+,4565.599999999999,4774113240.96,1028283.2
2039,R10EUROPE,154.6,158480863.728,34134.76
2039,R10INDIA+,905.1,949164746.4,204438.0
2039,R10LATIN_AM,29.0,27531804.0,5930.0
2039,R10MIDDLE_EAST,0.4,278568.0,60.0
2039,R10NORTH_AM,155.5,155134519.20000002,33414.0
2039,R10PAC_OECD,161.5,164873163.624,35511.58
2039,R10REF_ECON,46.6,44006315.519999996,9478.4
2039,R10REST_ASIA,389.6,409377032.88,88174.6
2040,R10AFRICA,104.10000000000001,107010968.64,23048.8
2040,R10CHINA+,4512.4,4727569170.96,1018258.2
2040,R10EUROPE,140.7,145773520.128,31397.760000000002
2040,R10INDIA+,889.9,936420260.4,201693.0
2040,R10LATIN_AM,28.1,26765742.0,5765.0
2040,R10MIDDLE_EAST,0.4,278568.0,60.0
2040,R10NORTH_AM,154.2,154071318.0,33185.0
2040,R10PAC_OECD,153.29999999999998,157570039.224,33938.58
2040,R10REF_ECON,42.9,41220635.519999996,8878.4
2040,R10REST_ASIA,356.4,376622078.88,81119.6
2041,R10AFRICA,92.30000000000001,96253601.04,20731.8
2041,R10CHINA+,4439.799999999999,4662286760.160001,1004197.2
2041,R10EUROPE,135.2,141420430.848,30460.16
2041,R10INDIA+,880.6,928504286.4,199988.0
2041,R10LATIN_AM,28.1,26765742.0,5765.0
2041,R10MIDDLE_EAST,0.4,278568.0,60.0
2041,R10NORTH_AM,129.9,131811877.68,28390.6
2041,R10PAC_OECD,127.7,133288195.224,28708.58
2041,R10REF_ECON,42.1,40570643.519999996,8738.4
2041,R10REST_ASIA,343.3,364179374.88,78439.6
2042,R10AFRICA,77.4,82668768.24,17805.8
2042,R10CHINA+,4377.2,4607334579.360001,992361.2
2042,R10EUROPE,132.6,139191886.848,29980.16
2042,R10INDIA+,874.6,923606132.4,198933.0
2042,R10LATIN_AM,17.9,17772638.4,3828.0
2042,R10MIDDLE_EAST,0.4,278568.0,60.0
2042,R10NORTH_AM,108.39999999999999,111577162.44,24032.3
2042,R10PAC_OECD,112.7,118969800.024,25624.58
2042,R10REF_ECON,40.800000000000004,39572441.519999996,8523.4
2042,R10REST_ASIA,343.3,364179374.88,78439.6
2043,R10AFRICA,70.5,76396345.44,16454.8
2043,R10CHINA+,4323.3,4559662308.96,982093.2
2043,R10EUROPE,128.0,135171222.048,29114.16
2043,R10INDIA+,863.6999999999999,914134820.4,196893.0
2043,R10LATIN_AM,17.9,17772638.4,3828.0
2043,R10MIDDLE_EAST,0.4,278568.0,60.0
2043,R10NORTH_AM,105.0,108814696.44,23437.3
2043,R10PAC_OECD,95.80000000000001,102487860.024,22074.58
2043,R10REF_ECON,40.6,39386729.519999996,8483.4
2043,R10REST_ASIA,341.7,362651893.68,78110.6
2044,R10AFRICA,67.0,73211384.64,15768.8
2044,R10CHINA+,4231.0,4474578356.160001,963767.2
2044,R10EUROPE,115.6,123387795.648,26576.16
2044,R10INDIA+,855.3,906079562.4,195158.0
2044,R10LATIN_AM,17.9,17772638.4,3828.0
2044,R10MIDDLE_EAST,0.4,278568.0,60.0
2044,R10NORTH_AM,98.1,102639772.44,22107.3
2044,R10PAC_OECD,84.1,90495507.624,19491.58
2044,R10REF_ECON,39.3,38309599.92,8251.4
2044,R10REST_ASIA,341.7,362651893.68,78110.6
2045,R10AFRICA,63.7,70026423.84,15082.8
2045,R10CHINA+,4107.6,4356001244.16,938227.2
2045,R10EUROPE,115.2,123053514.04800001,26504.16
2045,R10INDIA+,852.8,903839411.4,194675.5
2045,R10LATIN_AM,17.9,17772638.4,3828.0
2045,R10MIDDLE_EAST,0.4,278568.0,60.0
2045,R10NORTH_AM,95.5,99923734.44,21522.3
2045,R10PAC_OECD,72.0,77912358.924,16781.33
