Year,AR6_R10,GW,MWh/yr,MtCO2/yr,Type
2023,R10AFRICA,112.377,344547881.99999994,227.05705423799998,Const_low
2023,R10CHINA+,121.725,373208849.99999994,245.94463214999996,Const_low
2023,R10EUROPE,226.949,695825634.0,458.549092806,Const_low
2023,R10INDIA+,56.05,171849299.99999997,113.24868869999999,Const_low
2023,R10LATIN_AM,116.036,355766376.0,234.450041784,Const_low
2023,R10MIDDLE_EAST,281.996,864599735.9999999,569.7712260239999,Const_low
2023,R10NORTH_AM,567.794,1740856404.0,1147.224370236,Const_low
2023,R10PAC_OECD,101.921,312489786.0,205.930768974,Const_low
2023,R10REF_ECON,157.885,484075409.99999994,319.0056951899999,Const_low
2023,R10REST_ASIA,165.453,507278898.0,334.296793782,Const_low
2024,R10AFRICA,106.851,334553948.40000004,220.47105199560002,Const_low
2024,R10CHINA+,153.575,470860949.99999994,310.29736605,Const_low
2024,R10EUROPE,210.408,678679948.8,447.2500862592,Const_low
2024,R10INDIA+,50.589,156759061.19999996,103.30422133079998,Const_low
2024,R10LATIN_AM,106.95,355286853.6000001,234.13403652240004,Const_low
2024,R10MIDDLE_EAST,275.65598,892755365.8799998,588.3257861149199,Const_low
2024,R10NORTH_AM,464.752,1624013596.7999997,1070.2249602912,Const_low
2024,R10PAC_OECD,71.006,246870640.79999998,162.6877522872,Const_low
2024,R10REF_ECON,62.614,361156403.99999994,238.00207023599995,Const_low
2024,R10REST_ASIA,160.457,495586400.4,326.5914378636,Const_low
2025,R10AFRICA,105.928,329986834.79999995,217.46132413319998,Const_low
2025,R10CHINA+,155.719,477434454.0,314.629305186,Const_low
2025,R10EUROPE,206.975,659762115.5999999,434.7832341803999,Const_low
2025,R10INDIA+,49.225,152163740.39999998,100.2759049236,Const_low
2025,R10LATIN_AM,108.01500000000001,351707605.2,231.77531182679996,Const_low
2025,R10MIDDLE_EAST,280.03498,894282847.0799999,589.33239622572,Const_low
2025,R10NORTH_AM,458.518,1555129161.5999997,1024.8301174944,Const_low
2025,R10PAC_OECD,68.96300000000001,233315241.60000005,153.75474421440003,Const_low
2025,R10REF_ECON,63.712,322227402.0,212.34785791800002,Const_low
2025,R10REST_ASIA,158.761,489480154.8,322.5674220132,Const_low
2026,R10AFRICA,105.928,328249639.2,216.3165122328,Const_low
2026,R10CHINA+,155.35500000000002,476318430.0,313.89384537,Const_low
2026,R10EUROPE,201.43800000000002,634393418.4,418.06526272559995,Const_low
2026,R10INDIA+,47.355000000000004,146017023.6,96.2252185524,Const_low
2026,R10LATIN_AM,107.88900000000001,344476750.8,227.0101787772,Const_low
2026,R10MIDDLE_EAST,280.17197999999996,882804356.2799997,581.7680707885198,Const_low
2026,R10NORTH_AM,456.288,1498520990.3999999,987.5253326735999,Const_low
2026,R10PAC_OECD,63.480000000000004,209212802.39999995,137.87123678159998,Const_low
2026,R10REF_ECON,63.97200000000001,280729092.0,185.000471628,Const_low
2026,R10REST_ASIA,154.13799999999998,474399727.19999987,312.6294202247999,Const_low
2027,R10AFRICA,104.11,320938455.6,211.49844224040004,Const_low
2027,R10CHINA+,160.426,491866115.99999994,324.13977044399996,Const_low
2027,R10EUROPE,194.947,606099757.1999999,399.4197399947999,Const_low
2027,R10INDIA+,45.644,140357800.79999998,92.49579072719997,Const_low
2027,R10LATIN_AM,108.017,338024660.4,222.75825120359997,Const_low
2027,R10MIDDLE_EAST,293.06388,910432388.8799999,599.97494427192,Const_low
2027,R10NORTH_AM,452.981,1438610737.1999998,948.0444758147999,Const_low
2027,R10PAC_OECD,60.21,191895421.2,126.45908257079999,Const_low
2027,R10REF_ECON,63.772000000000006,237820422.0,156.723658098,Const_low
2027,R10REST_ASIA,147.32,452589429.6,298.25643410640004,Const_low
2028,R10AFRICA,103.023,315868518.0,208.15735336199998,Const_low
2028,R10CHINA+,159.926,490333115.99999994,323.129523444,Const_low
2028,R10EUROPE,186.779,572664413.9999999,377.3858488259999,Const_low
2028,R10INDIA+,43.85,134444100.0,88.5986619,Const_low
2028,R10LATIN_AM,104.996,321917735.99999994,212.14378802399997,Const_low
2028,R10MIDDLE_EAST,289.51688,887658754.0799999,584.96711893872,Const_low
2028,R10NORTH_AM,449.618,1378528788.0,908.450471292,Const_low
2028,R10PAC_OECD,56.23,172401179.99999997,113.61237761999999,Const_low
2028,R10REF_ECON,63.129000000000005,193553514.0,127.551765726,Const_low
2028,R10REST_ASIA,145.67,446624219.9999999,294.3253609799999,Const_low
2029,R10AFRICA,102.327,313734581.99999994,206.75108953799997,Const_low
2029,R10CHINA+,158.00600000000003,484446396.0,319.250174964,Const_low
2029,R10EUROPE,178.844,548335703.9999999,361.35322893599994,Const_low
2029,R10INDIA+,42.53,130396979.99999999,85.93160981999998,Const_low
2029,R10LATIN_AM,101.14099999999999,310098305.99999994,204.35478365399996,Const_low
2029,R10MIDDLE_EAST,286.93988,879757672.0799999,579.76030590072,Const_low
2029,R10NORTH_AM,441.398,1353326268.0000002,891.8420106120001,Const_low
2029,R10PAC_OECD,53.631,164432646.0,108.361113714,Const_low
2029,R10REF_ECON,62.522999999999996,191695518.0,126.327346362,Const_low
2029,R10REST_ASIA,143.31,439388459.99999994,289.55699513999997,Const_low
2030,R10AFRICA,101.33699999999999,310699242.0,204.75080047799997,Const_low
2030,R10CHINA+,156.834,480853044.0,316.882155996,Const_low
2030,R10EUROPE,169.947,521057501.99999994,343.3768938179999,Const_low
2030,R10INDIA+,41.145,126150569.99999999,83.13322562999998,Const_low
2030,R10LATIN_AM,96.41799999999999,295617588.0,194.81199049199998,Const_low
2030,R10MIDDLE_EAST,283.08088,867925978.0799999,571.96321955472,Const_low
2030,R10NORTH_AM,412.26800000000003,1264013688.0,832.9850203919999,Const_low
2030,R10PAC_OECD,52.205000000000005,160060530.0,105.47988927,Const_low
2030,R10REF_ECON,62.07300000000001,190315818.0,125.418124062,Const_low
2030,R10REST_ASIA,140.945,432137369.99999994,284.77852683,Const_low
2031,R10AFRICA,100.33599999999998,307630175.99999994,202.72828598399997,Const_low
2031,R10CHINA+,156.834,480853044.0,316.882155996,Const_low
2031,R10EUROPE,166.023,509026517.99999994,335.4484753619999,Const_low
2031,R10INDIA+,39.682,121665011.99999999,80.17724290799998,Const_low
2031,R10LATIN_AM,91.08699999999999,279272741.9999999,184.04073697799993,Const_low
2031,R10MIDDLE_EAST,276.41788,847497220.0799999,558.5006680327199,Const_low
2031,R10NORTH_AM,370.275,1135263150.0,748.13841585,Const_low
2031,R10PAC_OECD,50.536,154943375.99999997,102.10768478399999,Const_low
2031,R10REF_ECON,61.882999999999996,189733277.99999997,125.03423020199999,Const_low
2031,R10REST_ASIA,135.748,416203368.0,274.278019512,Const_low
2032,R10AFRICA,98.48,301939680.00000006,198.97824912000004,Const_low
2032,R10CHINA+,156.834,480853044.0,316.882155996,Const_low
2032,R10EUROPE,155.80700000000002,477704262.00000006,314.80710865800006,Const_low
2032,R10INDIA+,38.856,119132496.0,78.508314864,Const_low
2032,R10LATIN_AM,85.91499999999999,263415390.0,173.59074201,Const_low
2032,R10MIDDLE_EAST,271.66988,832939852.0799999,548.90736252072,Const_low
2032,R10NORTH_AM,305.05899999999997,935310893.9999998,616.3698791459998,Const_low
2032,R10PAC_OECD,48.925999999999995,150007115.99999994,98.85468944399996,Const_low
2032,R10REF_ECON,60.113,184306458.0,121.457955822,Const_low
2032,R10REST_ASIA,127.335,390409109.99999994,257.27960348999994,Const_low
2033,R10AFRICA,96.993,297380537.99999994,195.97377454199994,Const_low
2033,R10CHINA+,153.406,470342795.99999994,309.955902564,Const_low
2033,R10EUROPE,145.27,445397820.00000006,293.51716338,Const_low
2033,R10INDIA+,38.431000000000004,117829446.0,77.649604914,Const_low
2033,R10LATIN_AM,78.402,240380531.99999997,158.41077058799996,Const_low
2033,R10MIDDLE_EAST,267.40288,819857230.0799999,540.28591462272,Const_low
2033,R10NORTH_AM,248.717,762566322.0,502.531206198,Const_low
2033,R10PAC_OECD,47.443999999999996,145463303.99999997,95.86031733599998,Const_low
2033,R10REF_ECON,58.864999999999995,180480089.99999997,118.93637930999999,Const_low
2033,R10REST_ASIA,124.814,382679723.99999994,252.185938116,Const_low
2034,R10AFRICA,96.58099999999999,296117346.0,195.14133101399995,Const_low
2034,R10CHINA+,150.067,460105422.0,303.209473098,Const_low
2034,R10EUROPE,133.048,407925168.0,268.822685712,Const_low
2034,R10INDIA+,38.224000000000004,117194784.0,77.231362656,Const_low
2034,R10LATIN_AM,75.8,232402799.99999997,153.1534452,Const_low
2034,R10MIDDLE_EAST,262.75888000000003,805618726.0800002,530.9027404867201,Const_low
2034,R10NORTH_AM,221.853,680201297.9999999,448.25265538199994,Const_low
2034,R10PAC_OECD,47.233000000000004,144816377.99999997,95.43399310199999,Const_low
2034,R10REF_ECON,58.785,180234810.0,118.77473979,Const_low
2034,R10REST_ASIA,123.129,377513514.0,248.781405726,Const_low
2035,R10AFRICA,94.80399999999999,290669064.0,191.550913176,Const_low
2035,R10CHINA+,142.211,436018926.0,287.336472234,Const_low
2035,R10EUROPE,120.016,367969056.0,242.491607904,Const_low
2035,R10INDIA+,37.779,115830414.0,76.332242826,Const_low
2035,R10LATIN_AM,74.153,227353097.99999997,149.825691582,Const_low
2035,R10MIDDLE_EAST,254.12287999999998,779140750.0799999,513.45375430272,Const_low
2035,R10NORTH_AM,206.016,631645055.9999999,416.25409190399995,Const_low
