Region,year,Model,Scenario,Category,growth_rate,duration,start year
R10NORTH_AM,2011,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,C1,-0.04133517882674842,5.0,2006.0
R10NORTH_AM,2012,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,C1,-0.04139667806189862,6.0,2006.0
R10NORTH_AM,2013,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,C1,-0.04146347181098997,7.0,2006.0
R10NORTH_AM,2014,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,C1,-0.04153627454581976,8.0,2006.0
R10NORTH_AM,2015,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,C1,-0.0416159353472112,9.0,2006.0
R10NORTH_AM,2016,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,C1,-0.04506961179508617,10.0,2006.0
R10NORTH_AM,2017,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,C1,-0.0488669642787698,11.0,2006.0
R10NORTH_AM,2018,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,C1,-0.05306282329289469,12.0,2006.0
R10NORTH_AM,2019,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,C1,-0.05772455421641287,13.0,2006.0
R10NORTH_AM,2020,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,C1,-0.0629359302781336,14.0,2006.0
R10NORTH_AM,2021,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,C1,-0.09127405032767633,15.0,2006.0
R10NORTH_AM,2022,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,C1,-0.12806166003180297,16.0,2006.0
R10NORTH_AM,2023,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,C1,-0.17903964962137175,17.0,2006.0
R10NORTH_AM,2024,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,C1,-0.259179869661205,18.0,2006.0
R10NORTH_AM,2025,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,C1,-0.44997435036704625,19.0,2006.0
R10NORTH_AM,2026,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,C1,-0.4509634402686904,20.0,2006.0
R10NORTH_AM,2027,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,C1,-0.4525735697356992,21.0,2006.0
R10NORTH_AM,2028,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,C1,-0.45565786717805035,22.0,2006.0
R10NORTH_AM,2029,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,C1,-0.4639583944285416,23.0,2006.0
R10NORTH_AM,2030,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,C1,-0.5738581312027781,24.0,2006.0
R10NORTH_AM,2031,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,C1,-0.5595042482630037,25.0,2006.0
R10NORTH_AM,2032,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,C1,-0.5392487555251475,26.0,2006.0
R10NORTH_AM,2033,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,C1,-0.5074786941198293,27.0,2006.0
R10NORTH_AM,2034,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,C1,-0.44525165653525167,28.0,2006.0
R10NORTH_AM,2035,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,C1,-0.05916004115952911,29.0,2006.0
R10NORTH_AM,2036,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,C1,-0.06223108898567997,30.0,2006.0
R10NORTH_AM,2037,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,C1,-0.0657111895226693,31.0,2006.0
R10NORTH_AM,2038,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,C1,-0.06968861365048618,32.0,2006.0
R10NORTH_AM,2039,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,C1,-0.07427926058547785,33.0,2006.0
R10NORTH_AM,2040,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,C1,-0.0796385175581451,34.0,2006.0
R10NORTH_AM,2041,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,C1,-0.08499558777123228,35.0,2006.0
R10NORTH_AM,2042,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,C1,-0.09135563581204553,36.0,2006.0
R10NORTH_AM,2043,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,C1,-0.09903446062823373,37.0,2006.0
