Region,year,Model,Scenario,Category,growth_rate
R10NORTH_AM,2025,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,C1,-0.014494518414174817
R10NORTH_AM,2026,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,C1,-0.028046974933800928
R10NORTH_AM,2027,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,C1,-0.04282934957447182
R10NORTH_AM,2028,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,C1,-0.05906523433346711
R10NORTH_AM,2029,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,C1,-0.07704695705933551
R10NORTH_AM,2030,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,C1,-0.0971678841626683
R10NORTH_AM,2031,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,C1,-0.10661597190689598
R10NORTH_AM,2032,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,C1,-0.11841244760886771
R10NORTH_AM,2033,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,C1,-0.13359506407426391
R10NORTH_AM,2034,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,C1,-0.15395593000589003
R10NORTH_AM,2035,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,C1,-0.18294088327036462
R10NORTH_AM,2036,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,C1,-0.1835946080662002
R10NORTH_AM,2037,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,C1,-0.18447461968192413
R10NORTH_AM,2038,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,C1,-0.1857230254816863
R10NORTH_AM,2039,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,C1,-0.18763246446387183
R10NORTH_AM,2040,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,C1,-0.19091735045177627
R10NORTH_AM,2041,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,C1,-0.19122102487324488
R10NORTH_AM,2042,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,C1,-0.1916328551763158
R10NORTH_AM,2043,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,C1,-0.19222314336172197
R10NORTH_AM,2044,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,C1,-0.19313997759672774
R10NORTH_AM,2045,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,C1,-0.19475797055005584
R10NORTH_AM,2046,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,C1,-0.20724073818560063
R10NORTH_AM,2047,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,C1,-0.2255870742316144
R10NORTH_AM,2048,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,C1,-0.25548278761610665
R10NORTH_AM,2049,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,C1,-0.3148131183113736
R10NORTH_AM,2050,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,C1,-0.583432066145991
R10CHINA+,2025,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,C1,0.1880650821378027
R10CHINA+,2026,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,C1,0.15430402775632657
R10CHINA+,2027,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,C1,0.1301752096756692
R10CHINA+,2028,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,C1,0.11198219048936298
R10CHINA+,2029,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,C1,0.09773318722475022
R10CHINA+,2030,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,C1,0.08624993121070146
R10CHINA+,2031,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,C1,0.05457749513909316
R10CHINA+,2032,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,C1,0.02505787522261027
R10CHINA+,2033,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,C1,-0.0027818300523351214
R10CHINA+,2034,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,C1,-0.029315875710533845
R10CHINA+,2035,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,C1,-0.054851811956653784
R10CHINA+,2036,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,C1,-0.05755913612160357
R10CHINA+,2037,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,C1,-0.060598479787953075
R10CHINA+,2038,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,C1,-0.06403537174256979
