Region,Model,Scenario,Category,L,x0,k,start_year,rate,rate_percent,duration,rate_Cherp
R10NORTH_AM,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,C1,372.2221353349618,2018.832428258334,0.30052750159354447,2005.0,-27.965747092507566,-15.026375079677223,13.832428258333948,-7.064663497745928
R10CHINA+,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,C1,871.9589766719681,2024.843117469847,0.46556143468529493,2015.0,-101.48761804153077,-23.278071734264742,9.843117469846902,-13.734415017850255
R10EUROPE,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,C1,,,,,,,,
R10INDIA+,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,C1,,,,,,,,
R10NORTH_AM,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,C1,372.2221353349618,2018.832428258334,0.30052750159354447,2005.0,-27.965747092507566,-15.026375079677223,13.832428258333948,-7.064663497745928
R10CHINA+,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,C1,871.9589766719681,2024.843117469847,0.46556143468529493,2015.0,-101.48761804153077,-23.278071734264742,9.843117469846902,-13.734415017850255
R10EUROPE,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,C1,,,,,,,,
R10INDIA+,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,C1,,,,,,,,
R10NORTH_AM,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,C1,372.2221353349618,2018.832428258334,0.30052750159354447,2005.0,-27.965747092507566,-15.026375079677223,13.832428258333948,-7.064663497745928
R10CHINA+,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,C1,871.9589766719681,2024.843117469847,0.46556143468529493,2015.0,-101.48761804153077,-23.278071734264742,9.843117469846902,-13.734415017850255
R10EUROPE,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,C1,183.51457203392502,2019.7881720760877,0.35707943815097637,2005.0,-16.382320068597707,-17.853971907548818,14.788172076087676,-5.6838598773229085
R10INDIA+,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,C1,,,,,,,,
R10NORTH_AM,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,C1,372.2221353349618,2018.832428258334,0.30052750159354447,2005.0,-27.965747092507566,-15.026375079677223,13.832428258333948,-7.064663497745928
R10CHINA+,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,C1,871.9589766719681,2024.843117469847,0.46556143468529493,2015.0,-101.48761804153077,-23.278071734264742,9.843117469846902,-13.734415017850255
R10EUROPE,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,C1,183.51457203392502,2019.7881720760877,0.35707943815097637,2005.0,-16.382320068597707,-17.853971907548818,14.788172076087676,-5.6838598773229085
