year,Country Code,growth_rate,Capacity (GW),AR6_R10,ISO,R_Choice
2000,DEU,0.0718517936984524,12.543,R10EUROPE,DEU,1
2001,DEU,0.04932949033567424,12.787,R10EUROPE,DEU,1
2002,DEU,0.03866839771646502,12.9,R10EUROPE,DEU,1
2003,DEU,0.03182729412728569,12.986,R10EUROPE,DEU,1
2004,DEU,0.03671844270776514,13.553,R10EUROPE,DEU,1
2005,DEU,0.041013763851442064,15.335,R10EUROPE,DEU,1
2006,DEU,0.04269552485249073,15.76,R10EUROPE,DEU,1
2007,DEU,0.05810065492918337,17.109,R10EUROPE,DEU,1
2008,DEU,0.06684983124932176,17.947,R10EUROPE,DEU,1
2009,DEU,0.060409129171270504,18.172,R10EUROPE,DEU,1
2010,DEU,0.057240962991942146,20.256,R10EUROPE,DEU,1
2011,DEU,0.06034721707241397,21.125,R10EUROPE,DEU,1
2012,DEU,0.045177104152962055,21.339,R10EUROPE,DEU,1
2013,DEU,0.04470802263099949,22.334,R10EUROPE,DEU,1
2014,DEU,0.04402340954292683,22.54,R10EUROPE,DEU,1
2015,DEU,0.02427617903039425,22.837,R10EUROPE,DEU,1
2016,DEU,0.02987661420782417,24.475,R10EUROPE,DEU,1
2017,DEU,0.028129980998346626,24.514,R10EUROPE,DEU,1
2018,DEU,0.019117062329047307,24.552,R10EUROPE,DEU,1
2019,DEU,0.020098502864856815,24.898,R10EUROPE,DEU,1
2020,DEU,0.020340448577220505,25.256,R10EUROPE,DEU,1
2021,DEU,0.00646141354389429,25.276,R10EUROPE,DEU,1
2000,USA,0.06927562580570146,165.231,R10NORTH_AM,USA,1
2001,USA,0.10999075595601804,205.55,R10NORTH_AM,USA,1
2002,USA,0.1663700565610704,270.321,R10NORTH_AM,USA,1
2003,USA,0.2038857782954484,324.808,R10NORTH_AM,USA,1
2004,USA,0.20861861387216063,350.446,R10NORTH_AM,USA,1
2005,USA,0.17258692232478756,366.283,R10NORTH_AM,USA,1
2006,USA,0.12928982973844616,377.524,R10NORTH_AM,USA,1
2007,USA,0.07348676253010256,385.357,R10NORTH_AM,USA,1
2008,USA,0.03966787737465882,394.548,R10NORTH_AM,USA,1
2009,USA,0.029657525473621327,405.588,R10NORTH_AM,USA,1
2010,USA,0.024622487520401526,413.653,R10NORTH_AM,USA,1
2011,USA,0.023954590894202488,424.96,R10NORTH_AM,USA,1
2012,USA,0.024989620539344504,435.974,R10NORTH_AM,USA,1
2013,USA,0.02408363747737985,444.403,R10NORTH_AM,USA,1
2014,USA,0.023521699608070268,455.586,R10NORTH_AM,USA,1
2015,USA,0.024550454924300302,466.985,R10NORTH_AM,USA,1
2016,USA,0.024348859392551825,479.278,R10NORTH_AM,USA,1
2017,USA,0.024087566246902226,491.073,R10NORTH_AM,USA,1
2018,USA,0.029570245099372894,514.111,R10NORTH_AM,USA,1
2019,USA,0.02839229378463548,524.04,R10NORTH_AM,USA,1
2020,USA,0.025988784435717838,530.904,R10NORTH_AM,USA,1
2021,USA,0.02399732221363471,539.612,R10NORTH_AM,USA,1
2000,IND,0.1401313965531743,8.941,R10INDIA+,IND,0
2001,IND,0.1460430014469356,9.709,R10INDIA+,IND,0
2002,IND,0.10951681440614625,10.085,R10INDIA+,IND,0
2003,IND,0.061672955312478406,10.51,R10INDIA+,IND,0
2004,IND,0.05649738522494219,10.717,R10INDIA+,IND,0
2005,IND,0.04339858385180073,11.057,R10INDIA+,IND,0
2006,IND,0.05615686738338588,12.759,R10INDIA+,IND,0
2007,IND,0.06662408017455035,13.923,R10INDIA+,IND,0
2008,IND,0.059249035469683076,14.015,R10INDIA+,IND,0
2009,IND,0.08347827359968907,16.002,R10INDIA+,IND,0
2010,IND,0.09530986364471605,17.431,R10INDIA+,IND,0
2011,IND,0.06570655761596966,17.539,R10INDIA+,IND,0
2012,IND,0.06008970517415779,18.64,R10INDIA+,IND,0
2013,IND,0.06986102056152621,19.644,R10INDIA+,IND,0
2014,IND,0.07335775064472383,22.798,R10INDIA+,IND,0
2015,IND,0.07311653647086058,24.806,R10INDIA+,IND,0
2016,IND,0.07978580433240534,25.745,R10INDIA+,IND,0
2017,IND,0.0683284961677435,25.94,R10INDIA+,IND,0
2018,IND,0.05717773813360627,25.94,R10INDIA+,IND,0
2019,IND,0.026158966868054412,25.94,R10INDIA+,IND,0
2020,IND,0.010237322547251182,26.102,R10INDIA+,IND,0
2021,IND,0.0027580978219672314,26.102,R10INDIA+,IND,0
