Code,Year,Electricity from solar (TWh),Electricity from wind (TWh),Electricity from nuclear (TWh),Electricity from gas (TWh),Electricity from coal (TWh),Entity,Electricity generation (TWh),AR6_R10,ISO,Share_Solar_Gen,Share_Wind_Gen,Share_Nuclear_Gen,Share_Gas_Gen,Share_Coal_Gen,Country Code,Coal_Current_MW,Coal_AnnualMtCO2,Coal_start_year,Coal_Peak_MW,Coal_Ret_MW,Coal_EarlyRet_MW,Coal_Tran_MW,Coal_duration_year,Coal_Share_Ret,Coal_Share_EarlyRet,Coal_Share_Tran,Coal_Share_PhasedOut,Coal_logCurrent_MW,Gas_Current_MW,Gas_start_year,Gas_duration_year,Gas_Peak_MW,Gas_Ret_MW,Gas_EarlyRet_MW,Gas_Share_Ret,Gas_Share_EarlyRet,Gas_Share_PhasedOut,Gas_logCurrent_MW,Wind_MW,Solar_MW,Gas_Growth_MW,Gas_FuelSwitch,Gas_Substitution,Wind_Growth_MW,Wind_FuelSwitch,Wind_Substitution,Solar_Growth_MW,Solar_FuelSwitch,Solar_Substitution,Coal_Phaseout_MW,Coal_Gen_Decline_TWh,Coal_Gen_Decline_Perc,year_since_peak_coal_gen,year_since_peak_coal_cap,Gas_Gen_Decline_TWh,Gas_Gen_Decline_Perc,year_since_peak_gas_gen,rate_coal_gen_tot,rate_coal_cap_tot,rate_coal_gen_5y,rate_coal_share_5y,rate_coal_cap_5y
AUS,1990,0.0,0.0,,12.5655,123.363,Australia,155.6535,R10PAC_OECD,AUS,0.0,0.0,,0.08072738486445856,0.7925488344303212,AUS,23522.0,127.7,1958.0,23522.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,10.065691432410985,2581.0,1967.0,23.0,2581.0,0.0,0.0,0.0,0.0,0.0,7.855932199718614,0.0,0.0,,,,,,,,,,,,0.0,,,,0.0,,,,,,
AUS,1991,0.00545,0.0,,11.2025,127.22155,Australia,157.9635,R10PAC_OECD,AUS,3.450164120192323e-05,0.0,,0.07091828175496238,0.805385737844502,AUS,23522.0,127.7,1958.0,23522.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,10.065691432410985,2581.0,1967.0,24.0,2581.0,0.0,0.0,0.0,0.0,0.0,7.855932199718614,0.0,0.0,,,,,,,,,,,,0.0,,,,0.0,,,,,,
AUS,1992,0.0121,0.0,,11.964,130.0024,Australia,161.4005,R10PAC_OECD,AUS,7.496878882035682e-05,0.0,,0.07412616441708669,0.8054646670859136,AUS,23522.0,127.7,1958.0,23522.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,10.065691432410985,2581.0,1967.0,25.0,2581.0,0.0,0.0,0.0,0.0,0.0,7.855932199718614,0.0,0.0,,,,,,,,,,,,0.0,,,,0.0,,,,0.0,-0.24072291613665975,0.0
AUS,1993,0.0146,0.002,,12.247,133.2774,Australia,165.3825,R10PAC_OECD,AUS,8.828019893277705e-05,1.2093177935996857e-05,,0.07405257509107675,0.8058736565235137,AUS,25130.0,135.8,1958.0,25130.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,10.131817630537638,2581.0,1967.0,26.0,2581.0,0.0,0.0,0.0,0.0,0.0,7.855932199718614,0.0,0.0,,,,,,,,,,,,0.0,,,,0.0,,,,0.0,-0.09268530132099828,0.0
AUS,1994,0.0174,0.0055,,13.556,136.8941,Australia,170.1425,R10PAC_OECD,AUS,0.00010226721718559441,3.232584451268789e-05,,0.0796743905843631,0.8045849802371542,AUS,25495.0,137.7,1958.0,25495.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,10.146237633489257,2581.0,1967.0,27.0,2581.0,0.0,0.0,0.0,0.0,0.0,7.855932199718614,0.0,0.0,,,,,,,,,,,,0.0,,,,0.0,,,,0.0,-0.37140083516803646,0.0
AUS,1995,0.02115,0.007,,13.679,141.93535,Australia,175.2245,R10PAC_OECD,AUS,0.00012070229905064644,3.99487514588428e-05,,0.07806556731507294,0.8100200029105519,AUS,25860.0,139.6,1958.0,25860.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,10.160452652325848,2581.0,1967.0,28.0,2581.0,0.0,0.0,0.0,0.0,0.0,7.855932199718614,0.0,0.0,,,,,,,,,,,,0.0,,,,0.0,,,,0.0,-0.5482339964932326,0.0
AUS,1996,0.0256,0.007,,11.9355,148.4309,Australia,180.127,R10PAC_OECD,AUS,0.00014212194729274345,3.8861469962859535e-05,,0.06626158210595856,0.8240347088443154,AUS,27438.0,147.6,1958.0,27438.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,10.21968419288611,3180.0,1967.0,29.0,3180.0,0.0,0.0,0.0,0.0,0.0,8.064636475774222,0.0,0.0,,,,,,,,,,,,0.0,,,,0.0,,,,0.0,-0.5468994898621471,0.0
AUS,1997,0.03065,0.0075,,12.18,157.47385,Australia,188.9795,R10PAC_OECD,AUS,0.00016218690387052564,3.9686844340259126e-05,,0.06445143520858082,0.8332853563481754,AUS,27438.0,147.6,1958.0,27438.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,10.21968419288611,3241.0,1967.0,30.0,3241.0,0.0,0.0,0.0,0.0,0.0,8.083637203141548,0.0,0.0,,,,,,,,,,,,0.0,,,,0.0,,,,0.0,-0.3449661703202045,0.0
AUS,1998,0.0356,0.018,,14.4675,165.9459,Australia,199.471,R10PAC_OECD,AUS,0.00017847205859498373,9.023868131207041e-05,,0.0725293401045766,0.8319299547302615,AUS,27438.0,147.6,1958.0,27438.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,10.21968419288611,3537.0,1967.0,31.0,3537.0,0.0,0.0,0.0,0.0,0.0,8.17103418920548,0.0,0.0,,,,,,,,,,,,0.0,,,,0.0,,,,0.0,-0.07764252073177991,0.0
AUS,1999,0.0406,0.043,,16.123,171.1614,Australia,206.8995,R10PAC_OECD,AUS,0.0001962305370481804,0.0002078303717505359,,0.07792672287753234,0.8272683114265621,AUS,27788.0,149.5,1958.0,27788.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,10.232359551812772,3697.0,1967.0,32.0,3697.0,0.0,0.0,0.0,0.0,0.0,8.215276958936633,0.0,0.0,,,,,,,,,,,,0.0,,,,0.0,,,,0.0,0.6849769517403437,0.0
