Country Code,Year,Coal_Current_MW,Coal_AnnualMtCO2,Coal_start_year,Coal_Peak_MW,Coal_Ret_MW,Coal_EarlyRet_MW,Coal_Tran_MW,Coal_duration_year,Coal_Share_Ret,Coal_Share_EarlyRet,Coal_Share_Tran,Coal_Share_PhasedOut,Coal_logCurrent_MW,Gas_Current_MW,Gas_start_year,Gas_duration_year,Gas_Peak_MW,Gas_Ret_MW,Gas_EarlyRet_MW,Gas_Share_Ret,Gas_Share_EarlyRet,Gas_Share_PhasedOut,Gas_logCurrent_MW,Wind_MW,Solar_MW,Gas_Growth_MW,Gas_FuelSwitch,Gas_Substitution,Wind_Growth_MW,Wind_FuelSwitch,Wind_Substitution,Solar_Growth_MW,Solar_FuelSwitch,Solar_Substitution,Coal_Phaseout_MW,Code,Electricity from solar (TWh),Electricity from wind (TWh),Electricity from nuclear (TWh),Electricity from gas (TWh),Electricity from coal (TWh),Entity,Electricity generation (TWh),AR6_R10,ISO,Share_Solar_Gen,Share_Wind_Gen,Share_Nuclear_Gen,Share_Gas_Gen,Share_Coal_Gen,max_coal,max_coal_year,max_perc_coal,max_perc_coal_year,max_cap_coal_year,Gen_Coal_vPeak,Gen_Solar_new_TWh,Gen_Solar_vPeakCoal,Gen_Wind_new_TWh,Gen_Wind_vPeakCoal,Gen_Nuclear_new_TWh,Gen_Nuclear_vPeakCoal,Gen_Gas_new_TWh,Gen_Gas_vPeakCoal,Gen_Growth,Gen_Coal_PhaseOut,RE_vPeakCoal,year_since_peak_gen,year_since_peak_share,rate_decline_gen,rate_decline_share,label
DEU,2022,40889.8,207.0,1927.0,52867.1,17625.2,2364.0,7236.6,95.0,33.33869268410789,4.4715900815440985,13.688286287691213,22.655488952486508,10.61863592217529,26108.0,1936.0,86.0,26108.0,232.0,130.0,0.8886165160104184,0.4979316684541136,0.0,10.169997059755108,42006.0,3831.1,13565.0,25.658679972988875,1.132559090947042,40303.0,76.23455797651091,3.36494869461398,3831.1,7.246661912607273,0.3198634082806644,926378.4121693828,DEU,58.98,126.1,36.51,96.31,181.0,Germany,582.28,R10EUROPE,DEU,0.10129147489180462,0.2165624785326647,0.06270179295184447,0.1654015250394999,0.31084701518169955,310.03998,1990,0.5741933075788963,1991,2015,0.5837956769317298,58.98,0.1902335305272565,126.03,0.40649596223041945,-115.96000000000001,-0.37401628009394144,55.85,0.18013805832396196,1.1143723464309343,-0.41620432306827015,0.596729492757676,32,31,1.3006385095883441,0.8495041690232153,Mixed
USA,2022,212041.66,1077.7,1935.0,340154.2,89052.14,3686.8,59462.08,87.0,26.179932512960296,1.0838613781631978,17.480918947935965,37.66307751014099,12.264538043782665,545716.0,1950.0,72.0,545716.0,5904.0,1499.0,1.0818814181735554,0.2746850009895257,0.0,13.209853972883767,138173.0,50107.0,409830.0,120.48359244131044,3.198984268050575,136201.0,40.04095789497822,1.0631355837609653,49767.0,14.63071748048385,0.3884631434206206,7986141.475958962,USA,204.29,434.81,771.54,1689.46,828.99,United States,4296.88,R10NORTH_AM,USA,0.047543799221760906,0.10119202770382231,0.17955819105955947,0.3931829606598276,0.19292835731972965,2037.8633,1999,0.5378513915265997,1993,2011,0.4067937236025596,203.77165789999998,0.09999280025308861,430.2766686,0.21114108517484956,4.956699999999955,0.0024323025003688695,1091.1846,0.5354552486420459,1.1770395001470415,-0.5932062763974404,0.3111338854279382,23,29,2.5791577234671323,1.189389773127138,Mixed
BEL,2022,0.0,0.0,1949.0,2865.0,2188.0,0.0,677.0,73.0,76.36998254799302,0.0,23.63001745200697,100.0,0.0,5367.0,1978.0,44.0,5367.0,0.0,0.0,0.0,0.0,0.0,8.588024372176829,3350.0,208.4,3369.0,117.5916230366492,1.175916230366492,3350.0,116.9284467713787,1.169284467713787,208.4,7.2739965095986046,0.072739965095986,0.0,BEL,7.35,12.07,44.13,23.12,0.04,Belgium,94.58,R10EUROPE,BEL,0.07771198984986255,0.12761683231127088,0.4665891308944809,0.2444491435821527,0.0004229223937407486,17.09,1990,0.24313558116375014,1990,1999,0.0023405500292568754,7.35,0.4300760678759508,12.06,0.705675833820948,1.4100000000000037,0.08250438853130507,17.71,1.0362785254534816,2.421299005266237,-0.9976594499707431,1.1357519016968989,32,32,3.1176857811585723,0.7584770586562793,Mixed
BGR,2022,5149.0,31.0,1951.0,6356.0,120.0,0.0,1260.0,71.0,1.887979861548144,0.0,19.823788546255507,18.989930774071738,8.546557800046141,1200.0,1962.0,60.0,1200.0,0.0,0.0,0.0,0.0,0.0,7.090076835776092,608.0,384.0,93.0,1.4631843926998112,0.0770505385252692,608.0,9.565764631843928,0.5037282518641262,384.0,6.041535556954059,0.3181441590720796,97779.15355569536,BGR,1.72,1.43,16.46,2.91,21.39,Bulgaria,50.58,R10EUROPE,BGR,0.034005535784895215,0.02827204428627916,0.32542506919731123,0.05753262158956109,0.42289442467378413,27.53,2011,0.5511511511511511,2011,2012,0.7769705775517617,1.6199999999999999,0.058844896476571006,0.57,0.02070468579731202,0.15000000000000213,0.005448601525608505,0.8300000000000001,0.030148928441699967,1.0228841264075552,-0.2230294224482383,0.07954958227388302,11,11,2.027540204074894,1.165970240703336,None
CZE,2022,7499.6,43.9,1951.0,8951.1,1786.5,0.0,1210.0,71.0,19.95844086201696,0.0,13.51789165577415,16.215884081286106,8.922604964768796,1659.0,1930.0,92.0,1659.0,0.0,0.0,0.0,0.0,0.0,7.413970290190444,140.0,143.0,940.0,10.501502608617937,0.6476059249052701,98.0,1.0948375060048483,0.0675163623837409,143.0,1.5975690138642178,0.0985187736823974,121612.64425601329,CZE,2.51,0.65,30.99,6.65,36.97,Czechia,85.11,R10EUROPE,CZE,0.02949124662201856,0.007637175420044649,0.36411702502643634,0.07813417929737987,0.4343790388908471,53.79,2007,0.7562189054726369,1991,2007,0.6873024725785462,2.51,0.0466629485034393,0.52,0.009667224391150772,4.819999999999997,0.08960773377951287,5.28,0.09815950920245399,0.9505484290760365,-0.31269752742145385,0.05633017289459007,15,31,2.084650182809692,1.0381931180057735,None
HUN,2022,1194.0,7.3,1951.0,1709.0,250.0,0.0,265.0,71.0,14.628437682855472,0.0,15.5061439438268,30.134581626682262,7.085064293952548,2965.0,1994.0,28.0,2965.0,0.0,0.0,0.0,0.0,0.0,7.994632311431825,319.0,475.0,1545.0,90.40374488004682,3.0000000000000004,319.0,18.665886483323582,0.6194174757281555,475.0,27.794031597425395,0.9223300970873788,35980.69046225862,HUN,4.47,0.61,15.85,8.86,2.9,Hungary,35.52,R10EUROPE,HUN,0.12584459459459457,0.01717342342342342,0.44622747747747743,0.2494369369369369,0.08164414414414413,10.18,1999,0.30063291139240506,1990,2003,0.28487229862475444,4.47,0.4390962671905697,0.61,0.059921414538310416,1.75,0.1719056974459725,1.0399999999999991,0.10216110019646357,0.7730844793713167,-0.7151277013752455,0.4990176817288801,23,32,3.109250875544546,0.6843398976508155,Mixed
ESP,2022,2945.5,15.9,1951.0,13800.6,8966.9,317.7,1925.2,71.0,64.97471124443864,2.302073822877266,13.950118110806777,78.6567250699245,7.988033860961742,26742.0,1993.0,29.0,26742.0,82.0,82.0,0.3066337596290479,0.3066337596290479,0.0,10.193990642174612,24725.3,14206.2,13958.0,101.14053012187875,1.2858472054610273,15553.3,112.70017245627,1.4328103840591055,14206.2,102.9390026520586,1.3087120339748135,231683.38369346265,ESP,32.77,61.85,58.43,87.0,7.62,Spain,284.81,R10EUROPE,ESP,0.11505916224851656,0.21716231873880834,0.20515431340191706,0.30546680242969,0.026754678557634914,81.18,2002,0.4098538515540239,1992,2005,0.09386548410938654,32.75,0.40342448879034243,52.510000000000005,0.6468341956146835,-4.590000000000003,-0.05654101995565414,54.61,0.6727026361172702,1.5530918945553092,-0.9061345158906134,1.050258684405026,20,30,4.530672579453067,1.2769972433212966,Mixed
ITA,2022,6806.0,33.2,1952.0,9967.0,1085.0,0.0,3109.0,70.0,10.885923547707437,0.0,31.192936691080565,31.714658372629685,8.82555985506085,43743.0,1978.0,44.0,43743.0,500.0,500.0,1.1430400292618248,1.1430400292618248,0.0,10.686086878984394,7569.0,791.0,34636.0,347.50677234875087,10.95729199620373,7410.0,74.34533962074848,2.3441948750395443,791.0,7.93618942510284,0.250237266687757,215849.9648841176,ITA,27.73,19.91,0.0,141.34,21.19,Italy,278.86,R10EUROPE,ITA,0.0994405795022592,0.07139783403858567,0.0,0.5068493150684932,0.07598795094312559,49.14,2012,0.16574473826227737,2012,2013,0.4312169312169312,8.870000000000001,0.18050468050468052,6.5,0.13227513227513227,0.0,0.0,12.200000000000017,0.24827024827024863,0.6414326414326413,-0.5687830687830688,0.3127798127798128,10,10,5.687830687830688,0.8975678731915178,Mixed
ZAF,2022,45894.1,228.5,1952.0,46274.1,1000.0,0.0,180.0,70.0,2.161036087141619,0.0,0.3889864956854915,0.8211937131138143,10.734091847481611,280.0,2011.0,11.0,280.0,0.0,0.0,0.0,0.0,0.0,5.634789603169249,3604.0,2925.6,,,,,,,,,,,ZAF,6.21,9.69,10.07,0.0,182.29,South Africa,213.6,R10AFRICA,ZAF,0.02907303370786517,0.04536516853932584,0.04714419475655431,0.0,0.8534176029962547,231.74,2007,0.9499387542499973,1993,2021,0.7866143091395529,6.19,0.026710969189609045,9.68,0.041770950202813496,-2.5299999999999994,-0.010917407439371706,-0.08,-0.00034521446448606196,0.8566928454302235,-0.21338569086044712,0.06848191939242254,15,29,1.4225712724029806,0.3328315560473883,None
UKR,2022,22082.0,127.8,1953.0,24218.0,2136.0,0.0,0.0,69.0,8.819886035180444,0.0,0.0,8.819886035180446,10.002518075999085,8057.0,1958.0,64.0,8057.0,0.0,0.0,0.0,0.0,0.0,8.994296557777195,305.4,2460.5,1086.0,4.484267899909159,0.5084269662921348,135.99999999999997,0.5615657775208521,0.0636704119850187,1942.5,8.020893550251879,0.9094101123595506,194760.7234288546,UKR,5.97,1.22,64.99,4.6,22.18,Ukraine,111.94,R10REF_ECON,UKR,0.05333214221904592,0.01089869572985528,0.5805788815436841,0.041093442915847773,0.19814186171163123,111.93,1990,0.41365959423881055,2013,2017,0.19815956401322254,5.97,0.05333690699544358,1.22,0.0108996694362548,-11.190000000000012,-0.09997319753417325,-45.29,-0.4046278924327705,-0.6678281068524972,-0.8018404359867775,0.06423657643169838,32,9,2.5057513624586796,2.394641472524215,None
