Code,Year,Electricity from solar (TWh),Electricity from wind (TWh),Electricity from nuclear (TWh),Electricity from gas (TWh),Electricity from coal (TWh),Entity,Electricity generation (TWh),AR6_R10,ISO,Share_Solar_Gen,Share_Wind_Gen,Share_Nuclear_Gen,Share_Gas_Gen,Share_Coal_Gen,Country Code,Coal_Current_MW,Coal_AnnualMtCO2,Coal_start_year,Coal_Peak_MW,Coal_Ret_MW,Coal_EarlyRet_MW,Coal_Tran_MW,Coal_duration_year,Coal_Share_Ret,Coal_Share_EarlyRet,Coal_Share_Tran,Coal_Share_PhasedOut,Coal_logCurrent_MW,Gas_Current_MW,Gas_start_year,Gas_duration_year,Gas_Peak_MW,Gas_Ret_MW,Gas_EarlyRet_MW,Gas_Share_Ret,Gas_Share_EarlyRet,Gas_Share_PhasedOut,Gas_logCurrent_MW,Wind_MW,Solar_MW,Gas_Growth_MW,Gas_FuelSwitch,Gas_Substitution,Wind_Growth_MW,Wind_FuelSwitch,Wind_Substitution,Solar_Growth_MW,Solar_FuelSwitch,Solar_Substitution,Coal_Phaseout_MW,Coal_Gen_Decline_TWh,Coal_Gen_Decline_Perc,year_since_peak_coal_gen,year_since_peak_coal_cap,Gas_Gen_Decline_TWh,Gas_Gen_Decline_Perc,year_since_peak_gas_gen,rate_gas_gen_tot,rate_gas_gen_5y,rate_gas_share_5y
AUT,1990,0.0,0.0,0.0,7.72,6.19,Austria,49.3,R10EUROPE,AUT,0.0,0.0,0.0,0.1565922920892495,0.12555780933062882,AUT,1801.0,9.8,1962.0,1801.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,7.496097345175956,298.0,1975.0,15.0,298.0,0.0,0.0,0.0,0.0,0.0,5.697093486505405,0.0,0.0,,,,,,,,,,,,0.0,,,,0.0,,,,
AUT,1991,0.0,0.0,0.0,7.47,6.84,Austria,50.18,R10EUROPE,AUT,0.0,0.0,0.0,0.14886408927859704,0.13630928656835392,AUT,1801.0,9.8,1962.0,1801.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,7.496097345175956,298.0,1975.0,16.0,298.0,0.0,0.0,0.0,0.0,0.0,5.697093486505405,0.0,0.0,,,,,,,,,,,,0.0,,,,0.0,,,,
AUT,1992,0.0,0.0,0.0,6.64,4.1099997,Austria,49.95,R10EUROPE,AUT,0.0,0.0,0.0,0.13293293293293293,0.08228227627627628,AUT,1801.0,9.8,1962.0,1801.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,7.496097345175956,298.0,1975.0,17.0,298.0,0.0,0.0,0.0,0.0,0.0,5.697093486505405,0.0,0.0,,,,,,,,,,,,0.0,,,,0.0,,,0.0,-0.18421633438081342
AUT,1993,0.0,0.0,0.0,6.79,2.98,Austria,51.37,R10EUROPE,AUT,0.0,0.0,0.0,0.13217831419116216,0.058010511971968076,AUT,1801.0,9.8,1962.0,1801.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,7.496097345175956,298.0,1975.0,18.0,298.0,0.0,0.0,0.0,0.0,0.0,5.697093486505405,0.0,0.0,,,,,,,,,,,,0.0,,,,0.0,,,0.0,-0.25214916767198836
AUT,1994,0.0,0.0,0.0,8.64,3.1,Austria,52.11,R10EUROPE,AUT,0.0,0.0,0.0,0.16580310880829016,0.05948954135482633,AUT,1801.0,9.8,1962.0,1801.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,7.496097345175956,298.0,1975.0,19.0,298.0,0.0,0.0,0.0,0.0,0.0,5.697093486505405,0.0,0.0,,,,,,,,,,,,0.0,,,,0.0,,,0.0,-0.8507682593924898
AUT,1995,0.0,0.0,0.0,8.91,4.3199997,Austria,55.18,R10EUROPE,AUT,0.0,0.0,0.0,0.16147154766219646,0.07828922979340341,AUT,1801.0,9.8,1962.0,1801.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,7.496097345175956,451.0,1975.0,20.0,451.0,0.0,0.0,0.0,0.0,0.0,6.111467339502679,0.0,0.0,,,,,,,,,,,,0.0,,,,0.0,,,0.0,-0.39881877364802143
AUT,1996,0.0,0.0,0.0,9.4,5.28,Austria,53.57,R10EUROPE,AUT,0.0,0.0,0.0,0.17547134590255742,0.09856262833675565,AUT,1993.0,10.9,1962.0,1993.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,7.597396320212795,451.0,1975.0,21.0,451.0,0.0,0.0,0.0,0.0,0.0,6.111467339502679,0.0,0.0,,,,,,,,,,,,0.0,,,,0.0,,,0.0,0.1436730488410537
AUT,1997,0.0,0.02,0.0,8.47,5.83,Austria,55.68,R10EUROPE,AUT,0.0,0.00035919540229885057,0.0,0.15211925287356323,0.10470545977011494,AUT,1993.0,10.9,1962.0,1993.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,7.597396320212795,481.0,1975.0,22.0,481.0,0.0,0.0,0.0,0.0,0.0,6.175867270105761,0.0,0.0,,,,,,,,,,,,0.0,,,,0.0,,,0.0,0.128629885153142
AUT,1998,0.0,0.05,0.0,8.87,4.13,Austria,55.92,R10EUROPE,AUT,0.0,0.000894134477825465,0.0,0.15861945636623748,0.07385550786838341,AUT,1993.0,10.9,1962.0,1993.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,7.597396320212795,481.0,1975.0,23.0,481.0,0.0,0.0,0.0,0.0,0.0,6.175867270105761,0.0,0.0,,,,,,,,,,,,0.0,,,,0.0,,,0.0,0.8862021895632621
AUT,1999,0.0,0.05,0.0,9.29,4.42,Austria,59.92,R10EUROPE,AUT,0.0,0.0008344459279038719,0.0,0.15504005340453936,0.07376502002670227,AUT,1993.0,10.9,1962.0,1993.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,7.597396320212795,551.0,1975.0,24.0,551.0,0.0,0.0,0.0,0.0,0.0,6.311734809152915,0.0,0.0,,,,,,,,,,,,0.0,,,,0.0,,,0.0,0.17635164771037382
