Country Code,max_coal_share,max_coal_share_year,max_gas_share,max_gas_share_year,max_coal_gen_year,max_coal_gen,max_coal_cap_year,max_coal_cap,max_gas_gen_year,max_gas_gen
AFG,,,,,,,,,,
ALB,,,,,,,,,,
DZA,,,0.9227727378460107,2010.0,,,,,,
ASM,,,,,,,,,,
AGO,,,0.12233718807060255,2021.0,,,,,,
ATG,,,,,,,,,,
ARG,0.03578066694980329,1994.0,0.6474917392610393,2019.0,,,,,,
ARM,,,0.4703770197486535,2001.0,,,,,,
ABW,,,,,,,,,,
AUS,0.8332853563481754,1997.0,0.21240842680352634,2014.0,2004.0,174.86,2009.0,31004.0,,
AUT,0.1453668618670341,2003.0,0.21130908555441025,2010.0,2003.0,8.44,2000.0,1993.0,2010.0,14.35
AZE,,,0.6246923707957343,2020.0,,,,,,
BHS,,,,,,,,,,
BHR,,,1.0,2013.0,,,,,,
BGD,0.1431420861199108,2022.0,0.7492139353540435,2019.0,,,,,,
BRB,,,,,,,,,,
BLR,,,0.9989775051124744,2004.0,,,,,,
BEL,0.24313558116375014,1990.0,0.33207709701733606,2010.0,1990.0,17.09,1999.0,2865.0,2010.0,30.84
BLZ,,,,,,,,,,
BEN,,,,,,,,,,
BMU,,,,,,,,,,
BTN,,,,,,,,,,
BOL,,,0.5794143744454304,2022.0,,,,,,
BIH,0.7477360931435963,2017.0,,,,,,,,
BWA,1.0,2008.0,,,,,,,,
BRA,0.04569868957433035,2015.0,0.1373871834344532,2021.0,2014.0,26.17,2016.0,3278.0,,
VGB,,,,,,,,,,
BRN,0.4956896551724138,2019.0,0.9476309226932669,2016.0,,,,,,
BGR,0.5511511511511511,2011.0,0.080338266384778,1993.0,2011.0,27.53,2012.0,6356.0,1995.0,3.21
BFA,,,,,,,,,,
BDI,,,,,,,,,,
KHM,0.47267355982274745,2017.0,,,,,,,,
CMR,,,,,,,,,,
CAN,0.1886037103099082,1998.0,0.11548845754453231,2021.0,2000.0,109.21,1999.0,18604.2,,
CPV,,,,,,,,,,
CYM,,,,,,,,,,
CAF,,,,,,,,,,
TCD,,,,,,,,,,
CHL,0.455478949684612,2013.0,0.3577887381833128,2004.0,2016.0,31.95,,,2004.0,17.41
CHN,0.809589400098734,2007.0,0.032642687327009916,2020.0,,,,,,
COL,0.08646616541353383,2020.0,0.1936499606402519,2015.0,,,,,,
COM,,,,,,,,,,
COG,,,0.6815920398009951,2021.0,,,,,,
COK,,,,,,,,,,
CRI,,,,,,,,,,
CIV,,,0.511185682326622,2016.0,,,,,,
HRV,0.22974176313446126,2011.0,0.26208651399491095,2017.0,,,,,,
CUB,,,0.0785639958376691,2015.0,,,,,,
CYP,,,,,,,,,,
CZE,0.7562189054726369,1991.0,0.08730443090887376,2021.0,2007.0,53.79,2007.0,8951.1,,
COD,,,,,,,,,,
DNK,0.9151614668856047,1991.0,0.24591786244433447,2004.0,1996.0,39.67,2001.0,5003.0,,
DJI,,,,,,,,,,
DMA,,,,,,,,,,
DOM,0.19897669130187606,2021.0,0.2865264354747015,2021.0,,,,,,
TLS,,,,,,,,,,
ECU,,,0.04430863254392666,2004.0,,,,,,
EGY,,,0.7946598537220719,2018.0,,,,,,
SLV,,,0.13648293963254593,2022.0,,,,,,
GNQ,,,,,,,,,,
ERI,,,,,,,,,,
EST,0.001519756838905775,2017.0,0.07067137809187278,2001.0,,,,,,
SWZ,,,,,,,,,,
ETH,,,,,,,,,,
FLK,,,,,,,,,,
FRO,,,,,,,,,,
FJI,,,,,,,,,,
FIN,0.2289486203615604,2003.0,0.16472407231208372,2003.0,2003.0,19.25,2002.0,3787.2,2003.0,13.85
FRA,0.08770647225543599,1991.0,0.09159069608929027,2022.0,1991.0,39.609997,1999.0,8652.0,,
GUF,,,,,,,,,,
PYF,,,,,,,,,,
GAB,,,,,,,,,,
GMB,,,,,,,,,,
GEO,,,0.26019690576652604,2006.0,,,,,,
DEU,0.5741933075788963,1991.0,0.1699044529845221,2020.0,1990.0,310.03998,2015.0,52867.1,,
GHA,,,0.491638795986622,2021.0,,,,,,
GIB,,,,,,,,,,
GRC,0.7323594949244862,1994.0,0.41152790484903934,2021.0,2005.0,35.54,2009.0,5278.0,,
GRL,,,,,,,,,,
GRD,,,,,,,,,,
GLP,0.6882352941176471,2011.0,,,,,,,,
GUM,,,,,,,,,,
GTM,0.24257784214337436,2019.0,,,,,,,,
GIN,,,,,,,,,,
GNB,,,,,,,,,,
GUY,,,,,,,,,,
HTI,,,,,,,,,,
HND,0.045112781954887216,2021.0,,,,,,,,
HKG,0.6988538681948424,2004.0,0.38442969221484613,2020.0,,,,,,
HUN,0.30063291139240506,1990.0,0.3811311311311311,2007.0,1999.0,10.18,2003.0,1709.0,2007.0,15.23
ISL,,,,,,,,,,
IND,0.7659653403537309,2016.0,0.12590269555292435,2010.0,,,,,2010.0,118.03
IDN,0.6197998766362827,2020.0,0.41894260402523553,1997.0,,,,,,
IRN,0.004021784666945957,2000.0,0.852537217864575,2018.0,,,,,,
IRQ,,,0.7836726300637467,2021.0,,,,,,
IRL,0.4220532319391635,1992.0,0.6431107954545454,2010.0,,,,,2010.0,18.11
ISR,0.664811229428848,2001.0,0.6834615943081167,2018.0,2001.0,27.47,,,,
ITA,0.16574473826227737,2012.0,0.5621887308355848,2007.0,2012.0,49.14,2013.0,9967.0,2008.0,172.77
JAM,,,0.36855036855036855,2020.0,,,,,,
JPN,0.33704879529463283,2015.0,0.4210030037619931,2014.0,2013.0,341.72,,,2014.0,433.09
JOR,,,0.8638392857142857,2015.0,,,,,,
KAZ,0.8110418110418111,2011.0,0.28788806296458247,2021.0,,,,,,
KEN,,,,,,,,,,
KIR,,,,,,,,,,
OWID_KOS,0.9814814814814814,2012.0,,,,,,,,
KWT,,,1.0,2012.0,,,,,,
KGZ,0.16822429906542058,2002.0,,,,,,,,
LAO,0.3338788870703764,2019.0,,,,,,,,
LVA,,,0.5046583850931676,2019.0,,,,,,
LBN,,,0.32701652089407196,2021.0,,,,,,
LSO,,,,,,,,,,
LBR,,,,,,,,,,
LBY,,,0.7260230179028133,2017.0,,,,,,
LTU,,,0.671578947368421,2010.0,,,,,,
LUX,,,0.9390681003584229,2003.0,,,,,,
MAC,,,1.0,2021.0,,,,,,
MDG,0.13529411764705884,2012.0,,,,,,,,
MWI,,,,,,,,,,
MYS,0.497430748331463,2020.0,0.7938129700581807,2000.0,,,,,2014.0,73.84
MDV,,,,,,,,,,
MLI,,,,,,,,,,
MLT,0.5585585585585585,1990.0,0.97,2022.0,,,,,,
MTQ,,,,,,,,,,
MRT,,,,,,,,,,
MUS,0.2974137931034483,2007.0,,,,,,,,
MEX,0.13429446035351042,2003.0,0.6000245760629147,2020.0,2012.0,32.2,,,,
MDA,0.6691449814126395,2022.0,0.4051282051282052,2016.0,,,,,,
MNG,1.0,2007.0,,,,,,,,
MNE,0.5483870967741936,2017.0,,,,,,,,
MSR,,,,,,,,,,
MAR,0.6852112676056339,2001.0,0.22855056589996348,2012.0,,,,,,
MOZ,,,0.12079102084446819,2019.0,,,,,,
MMR,0.11512027491408935,2005.0,0.45621181262729127,2000.0,,,,,,
NAM,0.08484848484848487,2008.0,,,,,,,,
NRU,,,,,,,,,,
NPL,,,,,,,,,,
NLD,0.3620404411764706,2015.0,0.6324406011250104,2010.0,2015.0,39.39,2016.0,6043.0,2010.0,75.33
NCL,,,,,,,,,,
NZL,0.17105606258148628,2001.0,0.20476527482896908,2008.0,,,,,2008.0,8.68
NIC,,,,,,,,,,
NER,,,,,,,,,,
NGA,0.04,2004.0,0.7980392156862746,2014.0,,,,,,
NIU,,,,,,,,,,
PRK,0.4623270117888262,2001.0,,,2006.0,9.23,,,,
MKD,0.8973913043478261,1990.0,0.2813067150635209,2021.0,,,,,,
NOR,0.0005347593582887701,1994.0,0.03899585669022666,2010.0,,,,,,
OMN,,,1.0,2016.0,,,,,,
PAK,0.12401676100860105,2019.0,0.4740800646987464,2016.0,,,,,,
PSE,,,1.0,2001.0,,,,,,
PAN,0.09335899903753608,2019.0,0.08373435996150144,2019.0,,,,,,
PNG,,,,,,,,,,
PRY,,,,,,,,,,
PER,0.020533333333333334,2011.0,0.3632898696088265,2016.0,,,,,,
PHL,0.4631009402164272,2022.0,0.19227202472952085,2010.0,,,,,,
POL,0.9700874020494273,1991.0,0.11002927325951381,2020.0,2006.0,147.01,2011.0,30626.6,,
PRT,0.40452488687782806,1995.0,0.36967632027257236,2022.0,2005.0,15.23,1999.0,2028.0,,
PRI,,,,,,,,,,
QAT,,,1.0,2010.0,,,,,,
REU,,,,,,,,,,
ROU,0.4256017505470459,2003.0,0.3604887983706721,1992.0,2008.0,25.82,2005.0,7735.0,1990.0,22.57
RUS,0.1989513719749961,2000.0,0.49930847926454736,2010.0,,,2015.0,43637.5,1990.0,511.61584
RWA,,,,,,,,,,
SHN,,,,,,,,,,
KNA,,,,,,,,,,
LCA,,,,,,,,,,
SPM,,,,,,,,,,
VCT,,,,,,,,,,
WSM,,,,,,,,,,
STP,,,,,,,,,,
SAU,,,0.6707589503599108,2022.0,,,,,,
SEN,0.09786476868327403,2021.0,0.3268858800773694,2019.0,,,,,,
SRB,0.7551288795370857,2011.0,0.04975124378109453,2022.0,2011.0,28.71,2008.0,4437.0,,
SYC,,,,,,,,,,
SLE,,,,,,,,,,
SGP,,,0.960823110407598,2018.0,,,,,,
SVK,0.3111015490533563,1992.0,0.1473364801078894,2021.0,1990.0,7.5,2007.0,1285.0,,
SVN,0.39246858577405863,1993.0,0.03599755948749237,2009.0,2007.0,5.48,,,,
SLB,,,,,,,,,,
SOM,,,,,,,,,,
ZAF,0.9499387542499973,1993.0,0.01612485987755454,2015.0,2007.0,231.74,,,,
KOR,0.4617835140896207,2009.0,0.29755998096921094,2021.0,,,,,,
SSD,,,,,,,,,,
ESP,0.4098538515540239,1992.0,0.3888370296456046,2008.0,2002.0,81.18,2005.0,13800.6,2008.0,120.8
LKA,0.2995234853641934,2017.0,0.0819571865443425,2021.0,,,,,,
SDN,,,0.28802588996763756,2002.0,,,,,,
SUR,,,,,,,,,,
SWE,0.02624279923191807,1996.0,0.019602559784439207,2010.0,,,,,,
CHE,,,,,,,,,,
SYR,0.006485849056603773,2015.0,0.6145584725536992,2021.0,,,,,2010.0,24.48
TWN,0.5524853801169591,2003.0,0.39508208222253405,2022.0,,,,,,
TJK,0.05778003041054232,2021.0,0.02990369994931576,2021.0,,,,,,
TZA,,,0.25207756232686984,2018.0,,,,,,
THA,0.275042153502796,1991.0,0.7504990019960079,2010.0,,,,,,
TGO,,,0.22222222222222224,2021.0,,,,,,
TON,,,,,,,,,,
TTO,,,0.9887133182844244,2016.0,,,,,,
TUN,,,0.9948186528497409,2008.0,,,,,,
TUR,0.3671521516562634,2019.0,0.49760476022389194,2008.0,,,,,2014.0,120.58
TKM,,,1.0,2021.0,,,,,,
TCA,,,,,,,,,,
UGA,,,,,,,,,,
UKR,0.41365959423881055,2013.0,0.2061311943742446,2004.0,1990.0,111.93,,,1990.0,49.89
ARE,,,1.0,2008.0,,,,,,
GBR,0.6520507873280638,1991.0,0.4635665461455227,2010.0,1991.0,209.53,1999.0,35856.5,2008.0,176.22
USA,0.5378513915265997,1993.0,0.4017060828357877,2020.0,1999.0,2037.8633,2011.0,340154.2,,
VIR,,,,,,,,,,
URY,,,0.20227560050568902,2021.0,,,,,,
UZB,0.22069852153417613,2002.0,0.7427364864864864,2021.0,2016.0,10.73,2015.0,2584.0,,
VUT,,,,,,,,,,
VEN,,,0.2768211920529801,2019.0,,,,,,
VNM,0.48887520886465574,2019.0,0.4872437854339293,2010.0,,,,,2015.0,47.11
ESH,,,,,,,,,,
OWID_WRL,0.40975181866365806,2007.0,0.23425769507061858,2019.0,,,,,,
