Country Code,year,Coal_Current_MW,Coal_AnnualMtCO2,Coal_Peak_MW,Coal_Ret_MW,Coal_EarlyRet_MW,Coal_Tran_MW,Coal_duration_year,Coal_Share_Ret,Coal_Share_EarlyRet,Coal_Share_Tran,Coal_Share_PhasedOut,Coal_logCurrent_MW,Gas_Current_MW,Gas_duration_year,Gas_Peak_MW,Gas_Ret_MW,Gas_EarlyRet_MW,Gas_Share_Ret,Gas_Share_EarlyRet,Gas_Share_PhasedOut,Gas_logCurrent_MW,Share_Solar_Gen,Share_Wind_Gen,Share_Nuclear_Gen,Share_Gas_Gen,Share_Coal_Gen,Coal_Gen_Decline_Perc,Gas_Gen_Decline_Perc,rate_coal_gen_5y,rate_coal_share_5y,rate_coal_cap_5y,rate_gas_gen_5y,rate_gas_share_5y,Share_VRE_Gen
ARG,1990.0,375.0,2.0,375.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,5.926926025970411,3216.0,34.0,3216.0,0.0,0.0,0.0,0.0,0.0,8.075893630298857,0.0,0.0,0.1427510073837228,0.3891723998093202,0.0129399347443012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRB,1990.0,4087.0,23.5,4087.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,8.315566483564277,360.0,6.0,360.0,0.0,0.0,0.0,0.0,0.0,5.886104031450156,0.0,0.0,0.0,0.0338722093918398,0.7256864254554787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SVK,1990.0,1285.0,7.5,1285.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,7.158513997329321,103.0,14.0,103.0,0.0,0.0,0.0,0.0,0.0,4.634728988229636,0.0,0.0,0.4723420949391918,0.0714005492349941,0.2942330325617889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SVN,1990.0,1004.0,6.1,1004.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,6.911747300251674,69.0,15.0,69.0,0.0,0.0,0.0,0.0,0.0,4.23410650459726,0.0,0.0,0.3713826366559485,0.0,0.3127009646302251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZAF,1990.0,32239.3,170.7,32239.3,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,10.380941484226044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050524439979429,0.0,0.9324267757406144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KOR,1990.0,3610.0,19.6,3610.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,8.191463051326927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.441611777196488e-06,0.0,0.4464478246346322,0.1046132648617318,0.2828976237622592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.441611777196488e-06
ESP,1990.0,12590.9,69.5,12590.9,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,9.44072960978924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.613319224918986e-05,6.613319224918986e-05,0.3589048343363534,0.0099861120296276,0.3950796904966602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013226638449837972
SWE,1990.0,291.0,1.6,291.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,5.673323267171493,130.0,4.0,130.0,0.0,0.0,0.0,0.0,0.0,4.867534450455582,0.0,6.850253459377997e-05,0.4670502808603919,0.0028771064529387,0.0073982737361282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.850253459377997e-05
THA,1990.0,1425.0,8.4,1425.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,7.261927092702751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4027215862348344,0.2505604419245243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TUR,1990.0,4787.0,28.8,4787.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,8.473659189392508,1353.0,2.0,1353.0,0.0,0.0,0.0,0.0,0.0,7.210079628170788,0.0,0.0,0.0,0.1770941953423705,0.3507125477928398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
