"","Coal_AnnualMtCO2","Coal_duration_year","Coal_Share_Ret","Coal_Share_EarlyRet","Coal_Share_Tran","Coal_Share_PhasedOut","Coal_logCurrent_MW","Gas_Current_MW","Gas_duration_year","Gas_logCurrent_MW","Coal_Gen_Decline_Perc","Gas_Gen_Decline_Perc","Share_VRE_Gen","GDPpc_2015.","Population","WDI_Manu_GDP_.","WDI_CoalRents_.","WDI_OilRents_.","WDI_NGRents_.","WDI_NG_El_.","WDI_Coal_El_.","logGDPpc","BP_GasReserve_tM3","BP_GasProduction_bM3","BP_CoalProduction_mTon","BP_CoalReserve_mTon","BP_CoalR2P_yr","LogBP_GasR2P_yr","HHI_Gas_Import","contiguity_Gas_Import","agree_Gas_Import","sanction_Gas_Import","common_language_Gas_Import","colony_Gas_Import","HHI_Gas_Export","contiguity_Gas_Export","agree_Gas_Export","sanction_Gas_Export","common_language_Gas_Export","colony_Gas_Export","NetValue_Gas_Import","NetQuantity_Gas_Import","HHI_Coal_Import","contiguity_Coal_Import","agree_Coal_Import","sanction_Coal_Import","common_language_Coal_Import","colony_Coal_Import","HHI_Coal_Export","contiguity_Coal_Export","agree_Coal_Export","sanction_Coal_Export","common_language_Coal_Export","colony_Coal_Export","NetValue_Coal_Import","NetQuantity_Coal_Import","R_IndepProducer","R_Private","R_Unbundle","R_WholeSale","R_IndepReg","R_Choice","R_Liberalization","R_Corp","StateCapacity","num_supply_policy","binary_airqual","ghg_ambition_n","cw_2030","annex_one","annex_two"
"Coal_AnnualMtCO2",1,0.293751448944404,0.0286570427373405,0.0548128003231842,0.00738566917077413,-0.0205632957709238,0.345713409875745,0.489350616129059,0.0927549157281055,0.2232317246742,0.00465525293903037,0.0141328893421989,0.0364573199408272,0.0596842450178954,0.739130549483862,0.180081220890169,0.114461913283016,-0.0779883495630105,-0.0451436287455983,-0.11964702888892,0.294027595415407,0.0235588983151348,0.218925168507457,-0.00225813661386477,0.343480888559821,0.26436891509987,0.00274184629077407,0.237260663472066,-0.106552001247653,-0.0170537073821243,-0.00380882082756067,0.0442175429678076,-0.0296915212366329,-0.0680268373037524,0.0820207645402216,0.171351908462262,0.105908601506229,0.15456823134722,0.12298590049729,-0.0404918783952893,0.264471918233088,0.287299046950833,-0.13543109210727,-0.0147543628353036,0.0108213661536585,0.00801579313018068,0.0318465486178417,-0.0547596178240387,-0.122373419443457,-0.0512273598646086,-0.0165149371056292,0.189263976470097,-0.0745149420289653,0.00785975516412463,0.172313647511518,0.201278717147343,0.105938907230662,0.0111786182188549,0.122623199580682,0.00536307204011798,0.0824760288976235,0.0257546796463359,0.071050643363873,0.075277853536495,0.0619917314247127,0.0530780358777799,0.0391481157712483,0.151026354172914,0.174198486778145,0.0478723801549263,0.0800182888201918
"Coal_duration_year",0.293751448944404,1,0.343400063787976,0.0786989085785526,0.284955942494688,0.34825595054218,0.856161953998794,0.252998757603376,0.293535547710031,0.137230906758123,0.469369647411852,0.311240711332928,0.269810576182963,0.149868598630143,0.258081729519794,0.140595319807017,0.166828207535585,-0.384254703073753,-0.187732557152918,-0.419482557369443,0.551022503210046,0.198667318881919,0.208911538020294,0.0373402332537614,0.0561377470252707,0.0741271974469872,0.0938337887338252,0.186837215166776,-0.14025149420719,0.0341114219813787,0.109599690396582,-0.0683760323470661,-0.206088874182715,-0.156161459162771,0.094782511260816,0.335269489942207,0.273487836600827,0.0890062898751995,0.13736631415989,-0.0261132273796273,0.251215455556546,0.220491477219037,-0.366860031585796,0.0372911925333748,0.00371357834059052,0.0515692050992201,-0.274675618394837,-0.123006170757224,-0.0536951156799506,0.271973867948251,0.307547833198679,0.0974562356981026,0.0952530489130938,0.115821894394396,0.0141686665363217,0.0323305561313282,0.260686703566451,0.413795966952705,0.404706843234739,0.319438774934508,0.257421574813291,0.420788487158646,0.263519288777926,0.271578752031306,0.452787696270998,0.384117831465541,0.0873578562950206,0.0291320781183551,0.0309380288603301,0.47483277600394,0.390372660022184
"Coal_Share_Ret",0.0286570427373405,0.343400063787976,1,0.446776873447287,0.391435593726777,0.92795049113894,0.0951467150294985,0.0651675420848828,0.227670267631136,0.13644894925843,0.67442346398136,0.229440579093867,0.411417628153112,0.302474415086785,-0.00568913142385487,-0.0204280103063151,-0.0426149557061,-0.107058810665951,-0.0699964395821839,-0.109886764536694,-0.0814969786697744,0.262356412000278,-0.00346170287356914,0.0941080094538094,0.0136633229187345,0.0183154084421738,0.00102526823327432,-0.0580134035785714,-0.114121301896624,0.0477815722775119,0.0523789268779393,-0.0456181692283351,-0.0679896158140108,-0.0487768823144518,0.0254841888211137,0.192477092375817,0.169971810119797,0.000442693107066223,0.102070668663861,-0.0135929034953817,0.0517306833804986,0.0469235205352466,-0.196569971878882,-0.0151794920898519,-0.123394913096797,0.0381940079324398,-0.202725579272882,-0.0464553032248558,-0.0376533194053122,0.0309001557577554,0.101228860932925,-0.012719240451596,-0.00348937945028897,-0.0352429375417872,0.00727019483808446,0.026306285185985,0.160142082653862,0.189086883442532,0.195571414951946,0.156470169909832,0.160311749596785,0.361315222393346,0.135472109836681,0.151400044853387,0.337895976772177,0.339886856940208,0.134363383951599,-0.082860936409238,-0.0689766539458844,0.317800598771693,0.361686561181529
"Coal_Share_EarlyRet",0.0548128003231842,0.0786989085785526,0.446776873447287,1,0.0853828234172833,0.389905877077716,0.0179685306263394,0.0158887575793363,0.0539501714853976,0.062376420091612,0.187388486193645,0.115249422538274,0.137846074377608,0.124132847274085,0.027660325483894,0.073338986827522,-0.0134979110654728,-0.0279244592615337,-0.0309280455160673,-0.0421997021264828,-0.0250920023528627,0.109688811932468,0.00149433992368725,0.0202384458587401,0.0323838010073033,0.0235316849300691,-0.00575384538112055,-0.0209972619437793,0.0250269662053362,0.0619145018963069,0.0399916579854166,-0.0131503071886393,0.017130423955402,-0.0335039423460273,-0.0163044504830528,0.100220709536576,0.0449543402191299,-0.00730076176200672,0.0740355305774229,-0.00882491741493502,-0.0161192054080342,-0.0162096209721621,-0.0635972396226182,0.0327097045891414,0.00453756508635434,0.0905334121883214,-0.10826946199807,-0.0019050687230117,0.0308049276712996,-0.0150228200623695,0.00545138933806202,-0.00861358544794476,-0.0582126743283658,-0.0205716251666507,0.0666853839127928,0.0674143132403337,0.0475804416272689,0.0568700844732688,0.062429861759264,0.101864088304492,0.0649947066446145,0.113221606505475,0.0543158620345163,0.0610036320765653,0.145705922417179,0.0644420255881163,0.0611595656682616,-0.0174256184965032,-0.0312220932374131,0.0762682709646661,0.108557845973081
"Coal_Share_Tran",0.00738566917077413,0.284955942494688,0.391435593726777,0.0853828234172833,1,0.631922994100771,0.128116924522496,0.105859991578758,0.205130053613285,0.119731297955841,0.476623188513512,0.272029719641991,0.340724680814296,0.214787211779872,-0.0215787834219171,-0.0640538500240883,-0.034919406383364,-0.0943483229013375,-0.0573144806389988,-0.0595364710653156,-0.0475738145866732,0.204668054762274,0.0172135906004558,0.0307334910329054,-0.00150371315069123,0.0197020246428686,0.036967217734757,-0.0558049077783331,-0.134697769037236,-0.0413787452447816,0.0306658884673082,-0.0476998106647702,-0.0542526015614155,-0.0355502714019966,-0.0310824784034255,0.0834618848587214,0.132720421246897,-0.0213498770499941,0.0694769066984672,-0.0281991180125783,0.0978866987633723,0.0903201605188333,-0.106810665116876,-0.0817404980521705,-0.0757244146535458,-0.0101733859773547,-0.135058394146963,-0.0686428502954748,-0.0596517800032095,0.0448515593016029,0.096865185824491,-0.0248720086485544,0.0401721455840555,-0.0360952943083639,-0.00634680901620112,0.0025115117141172,0.127503525351224,0.182794687826313,0.179441155189401,0.186634120600108,0.117529314220517,0.31678107558407,0.115768377472187,0.129724903565826,0.246075027988478,0.343351976055807,0.149308938315367,-0.0163834683366541,0.00326913508860947,0.287606021494444,0.306731780315446
"Coal_Share_PhasedOut",-0.0205632957709238,0.34825595054218,0.92795049113894,0.389905877077716,0.631922994100771,1,0.0983342398925681,0.0577561827934882,0.23977411303246,0.134694764852908,0.738105227320934,0.297678047705849,0.444841794509327,0.316977956299431,-0.0489613964523285,-0.0532393297635213,-0.0510338386075798,-0.114851985843647,-0.0770153431712188,-0.112362888249364,-0.0972681142010204,0.282896794409674,-0.0111689014315996,0.0890659115702429,-0.00811469552844999,0.000314831282369728,0.012114516183727,-0.089238296045517,-0.123782017015653,0.0229340086046004,0.0496472749895401,-0.055530603075595,-0.0773124871004079,-0.0512399464990818,0.0179284778819857,0.173598794724688,0.181294594853511,0.00127502084650706,0.100740839106386,-0.0182758935955059,0.049480583911825,0.0485225695187787,-0.191328129004176,-0.0552024529964144,-0.130292665011626,0.0330163544037083,-0.211814503151946,-0.0630774562376565,-0.0422239308833649,0.0371713606178551,0.115554179337257,-0.0171025720050075,0.023056184051666,-0.0409187294898362,-0.0258486224499194,-0.00947591968104952,0.168395397940559,0.220339921660022,0.213536595940462,0.18845450016393,0.173564059344764,0.409592994075567,0.143281476677528,0.157431092272137,0.369526711317778,0.340983097994642,0.135854690480312,-0.0790357789953452,-0.0620954872659835,0.363483135267151,0.399118002358794
"Coal_logCurrent_MW",0.345713409875745,0.856161953998794,0.0951467150294985,0.0179685306263394,0.128116924522496,0.0983342398925681,1,0.23713360223901,0.172557533744937,0.0824353007648716,0.263374219381222,0.23719327343325,0.123984404411232,0.0592793184475642,0.335126446445188,0.260066480141522,0.183544099640662,-0.459802467369447,-0.210722554868219,-0.44728520533028,0.666988624869859,0.0819401102175135,0.187107572918769,0.0186822649104196,0.0703915519144899,0.072163490446092,0.0850646569367212,0.282222589861144,-0.0941614256413852,0.00480985726029323,0.109460756013065,-0.0186304545129472,-0.158347350908623,-0.183712585436945,0.128846816359182,0.261300626229636,0.232414657005928,0.141931607771497,0.110236106908875,-0.0544529272757938,0.24928055210065,0.219495071230868,-0.368233913755068,-0.015126674692034,0.054261732522028,0.0705119774014351,-0.172035364730311,-0.180131241937342,-0.0225014737292042,0.202335132508859,0.305961029108212,0.151499003105933,0.0857682575392026,0.0983368564382271,0.0163472126334779,0.0277482889615327,0.290326579275231,0.353678529140506,0.327662590014409,0.234388077880296,0.213777912551697,0.27475929772979,0.239331057845884,0.226758513940933,0.38412981652094,0.250557296412044,0.0559534746556961,0.106690040425159,0.133171041481116,0.355541979878919,0.335276224595922
"Gas_Current_MW",0.489350616129059,0.252998757603376,0.0651675420848828,0.0158887575793363,0.105859991578758,0.0577561827934882,0.23713360223901,1,0.301867754107673,0.350094649759898,0.0979469133280791,0.00995347878450499,0.0552622404241114,0.216525984316373,0.224766309225476,0.00807942380211068,-0.0018572192687374,0.00120074945931642,-4.45176493878953e-05,0.0666443359831156,0.0561881741033278,0.177625792254958,0.395718276333767,0.00987608440823796,0.0782992065650701,0.111289042174735,0.0128768962513087,0.157179249029589,-0.0437312284264905,0.106568820204021,0.0654219024181217,0.114055340354642,0.0529867968046298,-0.085199395146478,-0.0136132669934547,0.0929898195954086,0.0866266975519031,0.199870200872005,0.0752486151084862,-0.0291824918904999,0.131152470142937,0.138928746480769,-0.0541694784200772,-0.0581711319520788,0.0360866775831026,0.0109736995013087,0.0755954934750278,-0.074027454388426,-0.143747570299535,-0.083192484311307,-0.039607204021704,0.215637626559809,-0.0204258321283463,0.0296192636420727,-0.0940593760278924,-0.0562312899558251,0.0961146242785264,0.11440742753763,0.102706987772268,0.13235884879032,0.0726421349669309,0.12915133330005,0.0876652305281388,0.0850059199534484,0.110900178370786,0.154870601565105,0.0360212485203732,0.127730421997324,0.147926210012313,0.157707799621758,0.205961899540351
"Gas_duration_year",0.0927549157281055,0.293535547710031,0.227670267631136,0.0539501714853976,0.205130053613285,0.23977411303246,0.172557533744937,0.301867754107673,1,0.675144478232524,0.297099718002192,0.207319743415301,0.150434514277013,0.201841293828299,0.0354043376309308,0.1305212188057,-0.113593225889819,0.0647659011908032,0.096855039570754,0.255839692425484,-0.102585057765268,0.296199298035222,0.338341694299808,-0.000607985863639551,0.00871810511207675,0.0525262233700027,0.0205341016321678,0.267863091783045,-0.0712363315977579,0.0402096912264001,0.052299948517716,0.00248517803259283,-0.0280335713303862,0.0414463015842503,0.00758446818045156,0.112948523260698,0.15958871524211,0.105857633698508,0.0891553611340885,0.00595425449560329,-0.00412792573973911,-0.0192303760992489,-0.148508419467914,0.0607066386488225,-0.0617904052216789,0.0487836248718516,-0.0540533536549115,0.0623762493016836,-0.125686785468027,0.0657445221510077,0.0727046758109903,0.105502831177052,0.00712984209962548,0.0280398165301331,-0.0750106909746383,-0.0566023019664917,0.233459023931162,0.221186906858336,0.158160075193038,0.254463270069323,0.150388740746873,0.264231711977794,0.161367685239823,0.231863134442459,0.178985606581257,0.277624654939784,0.142037414760585,-0.0165188801063939,0.0354067620759215,0.346728974140866,0.213518251591206
"Gas_logCurrent_MW",0.2232317246742,0.137230906758123,0.13644894925843,0.062376420091612,0.119731297955841,0.134694764852908,0.0824353007648716,0.350094649759898,0.675144478232524,1,0.154595056394963,0.172274002660782,0.101681476489319,0.253798252946545,0.235997337543147,0.214267791579729,-0.190701807381575,0.21054994101874,0.130293757712733,0.46548536053516,-0.218099601965634,0.345214073548603,0.221205910332615,0.0235184899325525,0.0459991523968002,0.0569150602797121,0.0131212172389311,0.328152884972954,-0.15696448308873,-0.0682063982435917,0.0241001138934972,0.012130072444692,0.00423892136415714,-0.0512494808415018,0.118997259823893,0.0497288818071599,0.219011947416475,0.134334412694812,0.126005509065757,0.0240933726137223,0.066295108094944,0.0523940811187998,-0.264567264860328,-0.198959351979138,-0.0622482490656688,0.0873424046061062,-0.0465179897059563,-0.0154204671769103,-0.136864497737508,-0.131743757831858,0.0652101798549148,0.108090459250823,-0.0185400121829802,-0.0550027122396338,0.0324025551177897,0.0553946849960756,0.17577332124649,0.19179233307585,0.105584887110224,0.222294088239664,0.0844488803473805,0.209212026723505,0.105729077504134,0.219951889554046,0.172298910975681,0.223630101742132,0.0870911928201042,-0.104513712553534,0.0260255008062787,0.226138387857433,0.22341365050671
