"","Country.Code","year","Coal_AnnualMtCO2","Coal_duration_year","Coal_Share_Ret","Coal_Share_EarlyRet","Coal_Share_Tran","Coal_Share_PhasedOut","Coal_logCurrent_MW","Gas_Current_MW","Gas_duration_year","Gas_logCurrent_MW","Coal_Gen_Decline_Perc","Gas_Gen_Decline_Perc","Share_VRE_Gen","GDPpc_2015.","Population","WDI_Manu_GDP_.","WDI_CoalRents_.","WDI_OilRents_.","WDI_NGRents_.","WDI_NG_El_.","WDI_Coal_El_.","logGDPpc","BP_GasReserve_tM3","BP_GasProduction_bM3","BP_CoalProduction_mTon","BP_CoalReserve_mTon","BP_CoalR2P_yr","LogBP_GasR2P_yr","HHI_Gas_Import","contiguity_Gas_Import","agree_Gas_Import","sanction_Gas_Import","common_language_Gas_Import","colony_Gas_Import","HHI_Gas_Export","contiguity_Gas_Export","agree_Gas_Export","sanction_Gas_Export","common_language_Gas_Export","colony_Gas_Export","NetValue_Gas_Import","NetQuantity_Gas_Import","HHI_Coal_Import","contiguity_Coal_Import","agree_Coal_Import","sanction_Coal_Import","common_language_Coal_Import","colony_Coal_Import","HHI_Coal_Export","contiguity_Coal_Export","agree_Coal_Export","sanction_Coal_Export","common_language_Coal_Export","colony_Coal_Export","NetValue_Coal_Import","NetQuantity_Coal_Import","R_IndepProducer","R_Private","R_Unbundle","R_WholeSale","R_IndepReg","R_Choice","R_Liberalization","R_Corp","StateCapacity","num_supply_policy","binary_airqual","ghg_ambition_n","cw_2030","annex_one","annex_two"
"AGO-2017","AGO",2017,0,0,0,0,0,0,0,720,0,6.5792512120101,0,0,0.0018726591760299,2808.59871467039,30208628,6.58054965735374,0,24.7110060055382,0.476162010407452,22.867853,0,8.88406456678806,0,0,0,0,0,0,0.955154489497655,0.0046709339396485,1,0,0.0181894570348219,0.0181894570348219,0.181024285247065,1.0602567341808e-06,1.0602567341808e-06,0,0.123538427210441,0,-1098078.478,-2716282.77,0.999077832261577,0,0.9999265902487,0,2.39385598584376e-05,2.38629788715137e-05,0,0,0,0,0,0,26004.219,145539.248,0,0,0,0,1,0,1,1,-0.174151212061552,9,0,0,1,0,0
"AGO-2018","AGO",2018,0,0,0,0,0,0,0,720,1,6.5792512120101,0,0,0.0015588464536243,2677.24983283563,31273533,6.05946923337998,0,30.7304027285905,0.74554243174425,18.69159,0,8.83616897173691,0,0,0,0,0,0,0.443158812288504,0,0.6332422941865,0,0.0840811548966055,0.0840811548966055,0.199271105030067,0,0.0384184224467104,0,0.0203071361683247,0,-1477428.514,-3447462.77,0.781184887304318,0,0.999323436309634,0,1.22948868041242e-05,1.22948868041242e-05,1,1,1,0,0,0,32861.556,327615.367,0,0,0,0,1,0,1,1,-0.618440303831127,11,0,0,1,0,0
"AGO-2019","AGO",2019,0,0,0,0,0,0,0,720,2,6.5792512120101,0,0,0.0012987012987012,2569.70165067457,32353588,6.13744540474518,0,27.504828641196,0.814083850645771,23.246754,0,8.79516868881347,0,0,0,0,0,0,0.658362122341776,0.782222647123847,0.782222647123847,0,0,0,0.515051002368317,0,0.0526390340023593,0,0.0222378287563484,0,-1177467.463,-3136693.967,0.994797877988792,0,0.998650823612126,2.56148342260065e-06,2.56148342260065e-06,2.56148342260065e-06,0,0,0,0,0,0,11635.767,44115.062,0,0,0,0,1,0,1,1,-0.105184243211873,11,0,0,1,0,0
"AGO-2020","AGO",2020,0,0,0,0,0,0,0,720,3,6.5792512120101,0,0,0.0012055455093429,2346.84601909898,33428486,7.06304272536463,0,18.5719595053837,0.876758383885871,22.108433,0,8.70445119305154,0,0,0,0,0,0,0.626991809917059,0,0.753402286336418,0,0,0,0.375727174753049,0,0.0141852673881319,0,0.0354492607033291,0.0171957687567264,-989078.637,-3759013.868,0.95257541896633,3.71750787751536e-07,0.976081600784915,0,0.0001164974031116,0.0001164974031116,0,0,0,0,0,0,3562.037,21519.793,0,0,0,0,1,0,1,1,-0.41509915963976,11,0,0,1,0,0
"AGO-2021","AGO",2021,0,0,0,0,0,0,0,720,4,6.5792512120101,0,0,0.0012172854534388,2300.97461359713,34503774,6.54026229674275,0,28.2744398825844,1.01234906054638,23.6762,0,8.68471166409966,0,0,0,0,0,0,0.958680882129757,0,0.0211049790769604,0,0,0,0.180067902743962,0,0.266090323745845,0,0.0301554509190883,0,-2920660.896,-3310827.902,0.955715842098024,2.93209273231948e-06,0.978063939168849,0,0.0001356907358901,0.0001356907358901,1,0,0,0,0,0,4688.344,30694.775,0,0,0,0,1,0,1,1,-0.842289887366656,11,0,0,1,0,0
"ARE-1995","ARE",1995,0,0,0,0,0,0,0,4885,16,8.49392456447688,0,0,0,60698.9619911376,2433988,6.77246265719199,0,16.3473463917171,1.52774715570848,96.893763509727,0,11.5080169446752,0,0,0,0,0,0,1,0,0,0,1,1,0.725767652311064,1.4109557788279e-05,0.999999478160143,0,0.0008889295046524,0,-625558.696,-4677679.769,0.52314555326714,0.392423159399571,0.392423159399571,0,1,0.607576840600429,1,1,1,0,1,0,17.047,-40.731,0,0,0,0,0,0,0,1,0.6889,0,0,1,0,0,0
"ARE-1996","ARE",1996,0,0,0,0,0,0,0,5008,17,8.51879191277993,0,0,0,60755.2425205539,2572735,6.63729265402844,0,19.1112827067212,1.60805442765848,96.6317928646696,0,11.5089437225282,0,0,0,0,0,0,1,0,0,0,1,1,0.717064786675389,4.30649724288022e-05,0.999999933243766,0,0.0132691381144141,0,-719023.113,-5138096.473,0.92190922716519,0.001919109072804,0.0067168817548141,0,0.0404454635979792,0.0337285818431651,0,0,0,0,0,0,690.751,4168.601,0,0,0,0,0,0,0,1,0.6742,0,0,1,0,0,0
"ARE-1997","ARE",1997,0,0,0,0,0,0,0,5884,18,8.67999208172133,0,0,0,61581.2048360741,2746119,7.89550062539303,0,16.9646090621951,1.71580198382946,95.8661971830986,0,11.5224470550807,0,0,0,0,0,0,1,0,0,0,1,1,0.708079592286089,4.34525136253175e-07,0.999976586637385,0,0.0119639162652681,0,-962097.4,-5608420.549,0.547978140562686,0,0,0,1,0.65488405431594,1,0,1,0,1,0,-60.042,-23.375,0,0,0,0,0,0,0,1,0.7059,0,0,1,0,0,0
"ARE-1998","ARE",1998,0,0,0,0,0,0,0,7282,19,8.89316082873538,0,0,0,58060.7868499292,2921130,8.63108731478083,0,10.8323014620584,1.69523548425714,96.3494250119789,0,11.4635808582593,0,0,0,0,0,0,1,0,0,0,1,1,0.755765020111753,4.07692161301762e-05,0.972709767023752,0,0.0244333099536079,0,-766447.272,-5321134.698,0.468159624240111,0,0.0642508352608584,0,0.935749164739142,0.58236957080442,1,0,1,0,1,0,-260.962,-11968.872,0,0,0,0,1,0,0,1,0.7318,0,0,1,0,0,0
"ARE-1999","ARE",1999,0,0,0,0,0,0,0,7282,20,8.89316082873538,0,0,0,56342.7929580295,3097563,8.55748953651097,0,13.3744382605246,1.48019075248212,96.6115390831223,0,11.4335446818857,0,0,0,0,0,0,0.976673451343734,0,0,0,1,0.0118025751072961,0.805098236077707,7.98628675223433e-06,0.973499150451802,0,0.0257741349303653,0,-666878.621,-5309976.197,0.806173908407559,0,0.0028638021854528,0,0.891649139246652,0,1,0,1,0,1,0,-1640.289,-68537.923,0,0,0,1,1,0,1,1,0.7141,0,0,1,0,0,0
"ARE-2000","ARE",2000,0,0,0,0,0,0,0,8309,21,9.02509454366498,0,0,0,59067.6034711527,3275333,9.07200029229159,0,20.8440561536495,1.5402537160529,96.9106749449229,0,11.4807729568944,0,0,0,0,0,0,0.99994470023879,0.999972349356467,0.999972349356467,0,1,5.9095198830579e-08,0.818960798090871,4.02798357394381e-05,0.999936637725923,0,0.062415213127509,4.64303032422632e-09,-737789.596,-3984508.568,0.943422795224341,0.001025158587762,0.0230303585338386,0,0.998936227105432,0.0007110158245188,0.999993634942713,0,2.89321630466262e-06,0,1,0,-442.815,-10599.69,0,0,0,1,1,0,1,1,0.1375,0,0,1,0,0,0
"ARE-2001","ARE",2001,0,0,0,0,0,0,0,10464,22,9.25569607369698,0,0,0,56792.5827403129,3454198,13.3137591852656,0,15.8062390008792,1.79003505598156,97.2018901139627,0,11.4414960790384,0,0,0,0,0,0,0.779050071427769,0.999878907032835,0.999922849976662,0,1,7.71155582844602e-05,0.961547845253518,9.71297773742155e-05,0.999996719354308,0,0.000100292680923,0,-1006286.282,-4974172.998,0.496765586045983,0,0.488568964130138,0,0.511608673378747,0.0012205828510489,0.520348742482078,0.600868088318551,1,0,1,0,3064.375,112583.535,0,0,0,1,1,0,1,1,0.1517,0,0,1,0,0,0
"ARE-2002","ARE",2002,0,0,0,0,0,0,0,11412,23,9.34242071233339,0,0,0,55301.5095555022,3633655,13.0634763203571,0,14.6453240587361,1.59217479022602,97.2362130783678,0,11.4148905531198,0,0,0,0,0,0,0.372741222521167,0.541136198130367,0.541360960639399,0.353982817359026,0.999959830825726,2.32119880235427e-05,0.718703008819203,4.56046676453524e-06,0.999993003579858,0,0.0569878174381724,0,-913845.364,-4995709.293,0.988088228340212,0,0.0007279105157552,0.0014818041555161,0.999280835646379,0.0003875762797009,1,0,0,0,1,0,-1235.407,-34480.859,0,0,0,1,1,0,1,1,0.1759,0,0,1,0,0,0
"ARE-2003","ARE",2003,0,0,0,0,0,0,0,11712,24,9.36836923620109,0,0,0,57331.6540572285,3813443,12.2624610762446,0,17.8057010079321,1.40024746926002,97.2558139534884,0,11.4509432454131,0,0,0,0,0,0,0.97911076238902,0,0.0060813590225354,0,0.995552936729407,0,0.813363151459013,0.0593597955462339,0.999962491700759,0,0.0593986279725556,0,-1213813.043,-5636076.029,0.743348039648889,0,0.149783324721317,0,0.85021322884516,8.79580126181031e-05,0.995926039401336,0,0.0004438137358132,0,1,0,5017.938,225360.532,0,0,0,1,1,0,1,1,0.1353,0,0,1,0,0,0
"ARE-2004","ARE",2004,0,0,0,0,0,0,0,14209,25,9.56163084563808,0,0,0,59986.440027708,3993339,11.5123829171924,0,20.9182068452778,1.3026745340904,97.6648797145964,0,11.4962088845384,0,0,0,0,0,0,0.990638771791255,0.995297272385666,0.995297726857941,4.54472275327869e-07,1,0,0.918967322637664,1.41805565767998e-05,0.999999590827261,0.011014333628044,0.0142493111576043,0,-1180076.438,-5431655.551,0.917177557737112,0,0.0395550463136563,2.04130276008353e-05,0.99906053178243,0.0004976144425634,0.534772137011766,0.0012266740609964,0.0014379768294328,0,0.355398069651944,0,-11952.991,2366.57100000003,0,0,0,1,1,0,1,1,0.1455,0,0,1,0,0,0
"ARE-2005","ARE",2005,0,0,0,0,0,0,0,15178,26,9.62760228996386,0,0,0,58672.4846804814,4280993,10.608039735308,0,23.9417369873026,1.39252709986089,97.8648390391776,0,11.4740612195392,0,0,0,0,0,0,0.665244773789888,0.195911015956099,1,0,1,7.58443513999248e-05,0.900431344924301,4.89263734002346e-06,0.988244140027183,0,0.011769059631066,0,-1239366.483,-5126351.9,0.532220941051828,0,0.9990508205957,0,0.999103088795545,0,0.757865903483302,0.0729231809240642,0.125684463472567,0,0.133301602230068,0,13378.067,165728.143,0,0,0,1,1,0,1,1,0.1483,0,0,1,0,0,0
"ARE-2006","ARE",2006,0,0,0,0,0,0,0,15848,27,9.67079858837839,0,0,0,56315.1912301557,4898954,9.65695462798033,0,25.8820272214672,1.32306915187906,97.9675892643182,0,11.4330546726134,0,0,0,0,0,0,0.380859882322202,0.569407438459877,0.999999885379525,0,1,0,0.980977797453416,1.25323361651559e-05,0.999703225469295,0,0.0095956097597399,0,-1375629.668,-4493993.127,0.50606748430884,0,1,0,0.996894203467265,0.0012856193405547,0.818498408795029,0.906928516665407,0.959766055158817,0,0.999490575216994,0,6002.256,152690.296,0,0,0,1,1,0,1,1,0.4552,0,0,1,0,0,0
