"","Coal_Share_Ret","Coal_Share_Tran","Coal_Share_PhasedOut","Coal_Gen_Decline_Perc","Gas_Gen_Decline_Perc","Coal_duration_year","Coal_Share_EarlyRet","Coal_logCurrent_MW","Gas_Current_MW","Gas_duration_year","Gas_logCurrent_MW","Share_VRE_Gen","GDPpc_2015.","Population","WDI_Manu_GDP_.","WDI_CoalRents_.","WDI_OilRents_.","WDI_NGRents_.","WDI_NG_El_.","WDI_Coal_El_.","logGDPpc","BP_GasReserve_tM3","BP_GasProduction_bM3","BP_CoalProduction_mTon","BP_CoalReserve_mTon","BP_CoalR2P_yr","LogBP_GasR2P_yr","HHI_Gas_Import","contiguity_Gas_Import","agree_Gas_Import","sanction_Gas_Import","common_language_Gas_Import","colony_Gas_Import","HHI_Gas_Export","contiguity_Gas_Export","agree_Gas_Export","sanction_Gas_Export","common_language_Gas_Export","colony_Gas_Export","NetValue_Gas_Import","NetQuantity_Gas_Import","HHI_Coal_Import","contiguity_Coal_Import","agree_Coal_Import","sanction_Coal_Import","common_language_Coal_Import","colony_Coal_Import","HHI_Coal_Export","contiguity_Coal_Export","agree_Coal_Export","sanction_Coal_Export","common_language_Coal_Export","colony_Coal_Export","NetValue_Coal_Import","NetQuantity_Coal_Import","R_IndepProducer","R_Private","R_Unbundle","R_WholeSale","R_IndepReg","R_Choice","R_Liberalization","R_Corp","StateCapacity","num_supply_policy","binary_airqual","ghg_ambition_n","cw_2030","annex_one","annex_two"
"AGO-2017",0,0,0,0,0,-1.08690755856121,-0.106843592708464,-1.27830109989284,-0.255108960422048,-1.33049346227719,-0.131280672817298,-0.396242970346555,-0.735847195323054,-0.164705141704687,-1.35152324435792,-0.253508048586435,1.92588854484673,-0.176667687628028,-0.272663322116154,-0.807184063422909,-0.872072781040196,-0.301739409478846,-0.0231123133160389,-0.0384949141119594,-0.0432331676770436,-0.118364955710866,-0.595154771696259,0.812776077050028,-0.824394665651714,0.712637911258589,-0.30658385990859,-1.33875487407063,-0.385987369077632,-0.993704629609735,-0.858070320338351,-1.49353528060389,-0.224368070246164,-0.874890306143458,-0.28096461880065,-0.167995355280285,-0.126819065682526,1.53973211825435,-0.724870940202099,0.866210097042473,-0.298767643128817,-1.4304023072771,-0.413682646871652,-1.43239850640915,-0.869167367955639,-1.70213885678052,-0.217109412575124,-1.15212400318771,-0.28587370282009,-0.00402340403748033,-0.0061230995375211,-1.53771238317925,-1.05704929774021,-1.28646396483475,-0.96281442922852,0.63053649683716,-0.6634632185615,0.508185513571269,0.570757066818559,-1.23135231884898,1.60302920998362,0,0,1,0,0
"AGO-2018",0,0,0,0,0,-1.08690755856121,-0.106843592708464,-1.27830109989284,-0.255108960422048,-1.28236379070369,-0.131280672817298,-0.401079968026077,-0.743092822099911,-0.158859069759398,-1.43652624668948,-0.253508048586435,2.51198133006103,-0.0806659697253231,-0.406045184166273,-0.807184063422909,-0.922822623783589,-0.301739409478846,-0.0231123133160389,-0.0384949141119594,-0.0432331676770436,-0.118364955710866,-0.595154771696259,-0.84616019616672,-0.835709651487158,-0.246950872848864,-0.30658385990859,-1.18568579568657,-0.159711789506315,-0.945903893804095,-0.858072760175669,-1.40556169500051,-0.224368070246164,-1.11303864121896,-0.28096461880065,-0.219852716783937,-0.156778069907956,0.744804703003393,-0.724870940202099,0.86451201040808,-0.298767643128817,-1.43043047594864,-0.413725203378198,1.37534996337514,1.57553004405953,0.719506751217501,-0.217109412575124,-1.15212400318771,-0.28587370282009,-0.00253184289796356,-0.00272901917378483,-1.53771238317925,-1.05704929774021,-1.28646396483475,-0.96281442922852,0.63053649683716,-0.6634632185615,0.508185513571269,0.570757066818559,-1.60639874936479,2.14535336044073,0,0,1,0,0
"AGO-2019",0,0,0,0,0,-1.08690755856121,-0.106843592708464,-1.27830109989284,-0.255108960422048,-1.2342341191302,-0.131280672817298,-0.405089752910055,-0.74902552573304,-0.152929827963304,-1.42380612063712,-0.253508048586435,2.19791568731045,-0.0562391983609409,-0.26056194801384,-0.807184063422909,-0.966266241272358,-0.301739409478846,-0.0231123133160389,-0.0384949141119594,-0.0432331676770436,-0.118364955710866,-0.595154771696259,-0.148871931723337,1.0591658245372,0.142842915979515,-0.30658385990859,-1.38100971823122,-0.448450927707968,-0.118663222557955,-0.858072760175669,-1.37299729919851,-0.224368070246164,-1.10858465037239,-0.28096461880065,-0.178847873808985,-0.144044784147666,1.52411778531611,-0.724870940202099,0.862618373381468,-0.298748628853473,-1.43045402324696,-0.413761010462229,-1.43239850640915,-0.869167367955639,-1.70213885678052,-0.217109412575124,-1.15212400318771,-0.28587370282009,-0.00714873164471503,-0.0080137474709304,-1.53771238317925,-1.05704929774021,-1.28646396483475,-0.96281442922852,0.63053649683716,-0.6634632185615,0.508185513571269,0.570757066818559,-1.41868575507339,2.14535336044073,0,0,1,0,0
"AGO-2020",0,0,0,0,0,-1.08690755856121,-0.106843592708464,-1.27830109989284,-0.255108960422048,-1.1861044475567,-0.131280672817298,-0.406525623111575,-0.761318959136979,-0.147028896855038,-1.2728149346649,-0.253508048586435,1.32814577636358,-0.0339032660391295,-0.296917746149818,-0.807184063422909,-1.06238987516971,-0.301739409478846,-0.0231123133160389,-0.0384949141119594,-0.0432331676770436,-0.118364955710866,-0.595154771696259,-0.250516050023668,-0.835709651487158,0.0674370157702625,-0.30658385990859,-1.38100971823122,-0.448450927707968,-0.48364635685032,-0.858072760175669,-1.46105424887351,-0.224368070246164,-1.07810667716897,-0.176217944244303,-0.153095016220932,-0.169543409032959,1.37007980018149,-0.724869970837117,0.799078216964873,-0.298767643128817,-1.43017838655703,-0.41334186487764,-1.43239850640915,-0.869167367955639,-1.70213885678052,-0.217109412575124,-1.15212400318771,-0.28587370282009,-0.00890487428710678,-0.00843494580955623,-1.53771238317925,-1.05704929774021,-1.28646396483475,-0.96281442922852,0.63053649683716,-0.6634632185615,0.508185513571269,0.570757066818559,-1.59712664292827,2.14535336044073,0,0,1,0,0
"AGO-2021",0,0,0,0,0,-1.08690755856121,-0.106843592708464,-1.27830109989284,-0.255108960422048,-1.13797477598321,-0.131280672817298,-0.406344667789196,-0.763849373399769,-0.141125824740712,-1.35809525599066,-0.253508048586435,2.27285070434798,0.0144185007262596,-0.246846263170721,-0.807184063422909,-1.08330574413566,-0.301739409478846,-0.0231123133160389,-0.0384949141119594,-0.0432331676770436,-0.118364955710866,-0.595154771696259,0.824202073228134,-0.835709651487158,-1.8485534911493,-0.30658385990859,-1.38100971823122,-0.448450927707968,-0.996210040848714,-0.858072760175669,-0.884205923633985,-0.224368070246164,-1.09031917566237,-0.28096461880065,-0.417143388366084,-0.151179661051378,1.38153684135995,-0.724863294574676,0.804659184105395,-0.298767643128817,-1.43013195355566,-0.413271256761169,1.37534996337514,-0.869167367955639,-1.70213885678052,-0.217109412575124,-1.15212400318771,-0.28587370282009,-0.00865988767607021,-0.0082639149988444,-1.53771238317925,-1.05704929774021,-1.28646396483475,-0.96281442922852,0.63053649683716,-0.6634632185615,0.508185513571269,0.570757066818559,-1.49706296096433,2.14535336044073,0,0,1,0,0
"ARE-1995",0,0,0,0,0,-1.08690755856121,-0.106843592708464,-1.27830109989284,-0.152844329278301,-0.560418717101276,0.492493746389129,-0.425107472778311,2.45757143465529,-0.317181225199942,-1.32021678872809,-0.253508048586435,1.11154106399766,0.198095927221487,2.09158284335352,-0.807184063422909,1.90824909201951,-0.301739409478846,-0.0231123133160389,-0.0384949141119594,-0.0432331676770436,-0.118364955710866,-0.595154771696259,0.958081686794214,-0.835709651487158,-1.90377278413226,-0.30658385990859,0.942030715559694,2.98560202454649,0.433345896485677,-0.858040291600343,0.796404512389448,-0.224368070246164,-1.157835267711,-0.28096461880065,-0.103401637533014,-0.207184366950048,-0.196586680180167,0.298398629617299,-0.844121858793944,-0.298767643128817,0.98876534707115,1.82137323953174,1.37534996337514,1.57553004405953,0.719506751217501,-0.217109412575124,1.22421185239313,-0.28587370282009,-0.00967595631559328,-0.00883685546987948,-1.53771238317925,-1.05704929774021,-1.28646396483475,-0.96281442922852,-1.62045617382959,-0.6634632185615,-2.0119370225796,0.570757066818559,-0.278631360551611,-0.837429467073409,0,1,0,0,0
"ARE-1996",0,0,0,0,0,-1.08690755856121,-0.106843592708464,-1.27830109989284,-0.149824269342964,-0.512289045527782,0.500595188718681,-0.425107472778311,2.46067604967186,-0.316419537590068,-1.34226685156953,-0.253508048586435,1.38065825423234,0.226715809947265,2.08321600140889,-0.807184063422909,1.90923109945146,-0.301739409478846,-0.0231123133160389,-0.0384949141119594,-0.0432331676770436,-0.118364955710866,-0.595154771696259,0.958081686794214,-0.835709651487158,-1.90377278413226,-0.30658385990859,0.942030715559694,2.98560202454649,0.410547217814535,-0.857973660095979,0.796405554505194,-0.224368070246164,-1.1292748763942,-0.28096461880065,-0.116178275466686,-0.226049251083359,1.25820193929502,-0.71986673525566,-1.93001823192302,-0.298767643128817,-1.33261352044272,-0.289690282301043,-1.43239850640915,-0.869167367955639,-1.70213885678052,-0.217109412575124,-1.15212400318771,-0.28587370282009,-0.00952941681987694,-0.00875838932525758,-1.53771238317925,-1.05704929774021,-1.28646396483475,-0.96281442922852,-1.62045617382959,-0.6634632185615,-2.0119370225796,0.570757066818559,-0.295803181768788,-0.837429467073409,0,1,0,0,0
"ARE-1997",0,0,0,0,0,-1.08690755856121,-0.106843592708464,-1.27830109989284,-0.128315549803487,-0.464159373954288,0.553112001379103,-0.425107472778311,2.50623878752247,-0.315467701193242,-1.13701743093713,-0.253508048586435,1.171642302443,0.265114853355469,2.05876433790363,-0.807184063422909,1.92353913765036,-0.301739409478846,-0.0231123133160389,-0.0384949141119594,-0.0432331676770436,-0.118364955710866,-0.595154771696259,0.958081686794214,-0.835709651487158,-1.90377278413226,-0.30658385990859,0.942030715559694,2.98560202454649,0.387008929593738,-0.858071760256867,0.796352092097628,-0.224368070246164,-1.13228594413481,-0.28096461880065,-0.14940666607425,-0.245320074930025,-0.105991252977536,-0.724870940202099,-1.9489285737013,-0.298767643128817,0.98876534707115,1.99540623809941,1.37534996337514,-0.869167367955639,0.719506751217501,-0.217109412575124,1.22421185239313,-0.28587370282009,-0.00969272418870266,-0.00883653193673786,-1.53771238317925,-1.05704929774021,-1.28646396483475,-0.96281442922852,-1.62045617382959,-0.6634632185615,-2.0119370225796,0.570757066818559,-0.258772791797053,-0.837429467073409,0,1,0,0,0
"ARE-1998",0,0,0,0,0,-1.08690755856121,-0.106843592708464,-1.27830109989284,-0.0939899905384309,-0.416029702380793,0.622559466760255,-0.425107472778311,2.31204120875489,-0.314506932958313,-1.01702237029704,-0.253508048586435,0.574555682883477,0.257785370090168,2.07419771161847,-0.807184063422909,1.86116492080647,-0.301739409478846,-0.0231123133160389,-0.0384949141119594,-0.0432331676770436,-0.118364955710866,-0.595154771696259,0.958081686794214,-0.835709651487158,-1.90377278413226,-0.30658385990859,0.942030715559694,2.98560202454649,0.51192924800434,-0.857978943035206,0.73391261805072,-0.224368070246164,-1.10351980824421,-0.28096461880065,-0.122661184452806,-0.233548967919419,-0.39718896422935,-0.724870940202099,-1.76804028376649,-0.298767643128817,0.833328083698991,1.72864115062274,1.37534996337514,-0.869167367955639,0.719506751217501,-0.217109412575124,1.22421185239313,-0.28587370282009,-0.00973642693572409,-0.00905920790888317,-1.53771238317925,-1.05704929774021,-1.28646396483475,-0.96281442922852,0.63053649683716,-0.6634632185615,-2.0119370225796,0.570757066818559,-0.228517678223932,-0.837429467073409,0,1,0,0,0
"ARE-1999",0,0,0,0,0,-1.08690755856121,-0.106843592708464,-1.27830109989284,-0.0939899905384309,-0.367900030807299,0.622559466760255,-0.425107472778311,2.21727114012739,-0.313538358285902,-1.02902825620264,-0.253508048586435,0.822076839098832,0.181147789772046,2.0825691343183,-0.807184063422909,1.82933879512738,-0.301739409478846,-0.0231123133160389,-0.0384949141119594,-0.0432331676770436,-0.118364955710866,-0.595154771696259,0.882500467230465,-0.835709651487158,-1.90377278413226,-0.30658385990859,0.942030715559694,-0.407920259816552,0.641166235647959,-0.858054382324507,0.735720261434407,-0.224368070246164,-1.1004266062449,-0.28096461880065,-0.109050094326699,-0.233091765071135,0.835970839470765,-0.724870940202099,-1.94086598155079,-0.298767643128817,0.726640174516726,-0.413770433605251,1.37534996337514,-0.869167367955639,0.719506751217501,-0.217109412575124,1.22421185239313,-0.28587370282009,-0.0100364487301738,-0.0101137114113128,-1.53771238317925,-1.05704929774021,-1.28646396483475,1.05797885074033,0.63053649683716,-0.6634632185615,0.508185513571269,0.570757066818559,-0.249193952750737,-0.837429467073409,0,1,0,0,0
"ARE-2000",0,0,0,0,0,-1.08690755856121,-0.106843592708464,-1.27830109989284,-0.0687737177450029,-0.319770359233805,0.665541668553543,-0.425107472778311,2.36758045178627,-0.312562443805536,-0.945096953161711,-0.253508048586435,1.54937383527493,0.202553011638238,2.09212296228673,-0.807184063422909,1.87938155014845,-0.301739409478846,-0.0231123133160389,-0.0384949141119594,-0.0432331676770436,-0.118364955710866,-0.595154771696259,0.957902507977174,1.58664808574418,0.712565565819115,-0.30658385990859,0.942030715559694,-0.448450724771926,0.677481641415152,-0.857980069185601,0.796260611350853,-0.224368070246164,-1.01589785842114,-0.280964590517995,-0.11874366415979,-0.178782716276199,1.33668876250741,-0.722197770787988,-1.88409016101985,-0.298767643128817,0.986191840486997,-0.411154760301932,1.37533209189529,-0.869167367955639,-1.70213185043596,-0.217109412575124,1.22421185239313,-0.28587370282009,-0.00977598235904724,-0.00903368499151156,-1.53771238317925,-1.05704929774021,-1.28646396483475,1.05797885074033,0.63053649683716,-0.6634632185615,0.508185513571269,0.570757066818559,-0.922749878861226,-0.837429467073409,0,1,0,0,0
"ARE-2001",0,0,0,0,0,-1.08690755856121,-0.106843592708464,-1.27830109989284,-0.015861285544577,-0.27164068766031,0.740668496468342,-0.425107472778311,2.24208299116826,-0.311580518038924,-0.253145721680475,-0.253508048586435,1.05885486430231,0.29157001448571,2.10142381845977,-0.807184063422909,1.83776404080308,-0.301739409478846,-0.0231123133160389,-0.0384949141119594,-0.0432331676770436,-0.118364955710866,-0.595154771696259,0.242173589540122,1.58642172874963,0.712436055112378,-0.30658385990859,0.942030715559694,-0.448186108797376,1.05101335005171,-0.857849247466031,0.79639819488019,-0.224368070246164,-1.15965460509073,-0.28096461880065,-0.155447310889995,-0.219332732469376,-0.292827332495151,-0.724870940202099,-0.573438215048177,-0.298767643128817,-0.192763437052738,-0.40928017351837,0.0286098790490863,0.599773292519222,0.719506751217501,-0.217109412575124,1.22421185239313,-0.28587370282009,-0.00901312232855701,-0.00673742688028607,-1.53771238317925,-1.05704929774021,-1.28646396483475,1.05797885074033,0.63053649683716,-0.6634632185615,0.508185513571269,0.570757066818559,-0.906162133195654,-0.837429467073409,0,1,0,0,0
"ARE-2002",0,0,0,0,0,-1.08690755856121,-0.106843592708464,-1.27830109989284,0.00741527395704883,-0.223511016086816,0.768922198869652,-0.425107472778311,2.15983059858445,-0.310595342334908,-0.293973958494912,-0.253508048586435,0.945819637826572,0.2210566292777,2.10252002837361,-0.807184063422909,1.80957300872524,-0.301739409478846,-0.0231123133160389,-0.0384949141119594,-0.0432331676770436,-0.118364955710866,-0.595154771696259,-1.07432285287956,0.475152051119546,-0.487350176648273,1.37675713492874,0.941937400943663,-0.448371216511968,0.414838827246682,-0.85806226573914,0.796389685966953,-0.224368070246164,-1.02841853150547,-0.28096461880065,-0.14281058584048,-0.220215149867151,1.49963932203483,-0.724870940202099,-1.94687925421952,-0.287767988799647,0.987025526279906,-0.412344624371681,1.37534996337514,-0.869167367955639,-1.70213885678052,-0.217109412575124,1.22421185239313,-0.28587370282009,-0.00994838156105407,-0.00947885378800797,-1.53771238317925,-1.05704929774021,-1.28646396483475,1.05797885074033,0.63053649683716,-0.6634632185615,0.508185513571269,0.570757066818559,-0.877892876497988,-0.837429467073409,0,1,0,0,0
"ARE-2003",0,0,0,0,0,-1.08690755856121,-0.106843592708464,-1.27830109989284,0.0147812737993355,-0.175381344513322,0.777375873426717,-0.425107472778311,2.27181989881391,-0.309608349520619,-0.424642272886134,-0.253508048586435,1.25353720716168,0.152657625245544,2.10314604288022,-0.807184063422909,1.84777419324767,-0.301739409478846,-0.0231123133160389,-0.0384949141119594,-0.0432331676770436,-0.118364955710866,-0.595154771696259,0.890397689574561,-0.835709651487158,-1.88786145134319,-0.30658385990859,0.93170000777048,-0.448450927707968,0.662817627029914,-0.721475425096972,0.796319815490304,-0.224368070246164,-1.02285693764037,-0.28096461880065,-0.18381633486673,-0.246453216758544,0.606766514048379,-0.724870940202099,-1.52723678775662,-0.298767643128817,0.626397360676365,-0.413446855117284,1.36391130673828,-0.869167367955639,-1.70106409719642,-0.217109412575124,1.22421185239313,-0.28587370282009,-0.00858819663883259,-0.00463515123260025,-1.53771238317925,-1.05704929774021,-1.28646396483475,1.05797885074033,0.63053649683716,-0.6634632185615,0.508185513571269,0.570757066818559,-0.925319811288286,-0.837429467073409,0,1,0,0,0
